site,block,elevation,habitat
BERL01,BERL,2000,forest
BERL02,BERL,2000,fragment
BERL05,BERL,2000,fragment
BERL09,BERL,2000,shrubs
CORO01,CORO,1800,forest
CORO02,CORO,1800,fragment
CORO04,CORO,1800,fragment
CORO05,CORO,1800,fragment
CORO06,CORO,1800,fence
CORO06,CORO,1800,pasture
CORO06,CORO,1800,tree
CORO08,CORO,1800,shrubs
HUIQ01,HUIQ,2800,forest
HUIQ07,HUIQ,2800,fragment
HUIQ08,HUIQ,2800,fragment
HUIQ09,HUIQ,2800,fragment
HUIQ10,HUIQ,2800,shrubs
HUIQ11,HUIQ,2800,fence
HUIQ11,HUIQ,2800,pasture
HUIQ11,HUIQ,2800,tree
LEVA01,LEVA,3000,forest
LEVA04,LEVA,3000,fragment
LEVA05,LEVA,3000,fragment
LEVA06,LEVA,3000,fragment
LEVA07,LEVA,3000,fragment
LEVA08,LEVA,3000,fragment
LEVA09,LEVA,3000,shrubs
LEVA11,LEVA,3000,fence
LEVA11,LEVA,3000,pasture
LEVA11,LEVA,3000,tree
PALM01,PALM,2200,forest
PALM04,PALM,2200,fragment
PALM07,PALM,2200,fragment
PALM08,PALM,2200,fragment
PALM10,PALM,2200,fence
PALM10,PALM,2200,pasture
PALM10,PALM,2200,tree
PALM12,PALM,2200,shrubs
POMA01,POMA,2500,fragment
POMA02,POMA,2500,fragment
POMA03,POMA,2500,fragment
POMA04,POMA,2500,fragment
POMA05,POMA,2500,fragment
POMA06,POMA,2500,fragment
POMA07,POMA,2500,forest
POMA08,POMA,2500,fragment
SANL02,SANL,2700,forest
SANL03,SANL,2700,fragment
SANL04,SANL,2700,fragment
SANL05,SANL,2700,fragment
SANL06,SANL,2700,fragment
SANL07,SANL,2700,fragment
SANL08,SANL,2700,fragment
SANL09,SANL,2700,fence
SANL09,SANL,2700,pasture
SANL09,SANL,2700,tree
