site,block,elevation,habitat,rich
BERL01,BERL,2000,forest,94.45852593
BERL02,BERL,2000,fragment,52.08611111
BERL05,BERL,2000,fragment,63.97643704
BERL09,BERL,2000,shrubs,73.47057778
CORO01,CORO,1800,forest,100.2041704
CORO02,CORO,1800,fragment,53.16477037
CORO04,CORO,1800,fragment,54.81762963
CORO05,CORO,1800,fragment,57.97518519
CORO06,CORO,1800,fence,27.3208
CORO06,CORO,1800,pasture,9.093466667
CORO06,CORO,1800,tree,42.71286667
CORO08,CORO,1800,shrubs,61.79077037
HUIQ01,HUIQ,2800,forest,90.92282222
HUIQ07,HUIQ,2800,fragment,74.96171111
HUIQ08,HUIQ,2800,fragment,71.44874815
HUIQ09,HUIQ,2800,fragment,36.852
HUIQ10,HUIQ,2800,shrubs,71.07314815
HUIQ11,HUIQ,2800,fence,34.504
HUIQ11,HUIQ,2800,pasture,11.1628
HUIQ11,HUIQ,2800,tree,30.90053333
LEVA01,LEVA,3000,forest,82.95240741
LEVA04,LEVA,3000,fragment,67.87911111
LEVA05,LEVA,3000,fragment,34.07306667
LEVA06,LEVA,3000,fragment,38.99706667
LEVA07,LEVA,3000,fragment,68.29322963
LEVA08,LEVA,3000,fragment,59.23619259
LEVA09,LEVA,3000,shrubs,83.0952963
LEVA11,LEVA,3000,fence,41.38126667
LEVA11,LEVA,3000,pasture,12.94933333
LEVA11,LEVA,3000,tree,33.6274
PALM01,PALM,2200,forest,106.5153556
PALM04,PALM,2200,fragment,61.72698519
PALM07,PALM,2200,fragment,50.28685926
PALM08,PALM,2200,fragment,46.81152593
PALM10,PALM,2200,fence,20.98013333
PALM10,PALM,2200,pasture,8.666866667
PALM10,PALM,2200,tree,44.73366667
PALM12,PALM,2200,shrubs,78.73954815
POMA01,POMA,2500,fragment,74.37381481
POMA02,POMA,2500,fragment,54.64334074
POMA03,POMA,2500,fragment,75.74812593
POMA04,POMA,2500,fragment,72.87674815
POMA05,POMA,2500,fragment,62.45417778
POMA06,POMA,2500,fragment,48.22386667
POMA07,POMA,2500,forest,83.22733333
POMA08,POMA,2500,fragment,73.05943704
SANL02,SANL,2700,forest,88.00488889
SANL03,SANL,2700,fragment,55.34445926
SANL04,SANL,2700,fragment,36.95379259
SANL05,SANL,2700,fragment,51.92906667
SANL06,SANL,2700,fragment,48.16313333
SANL07,SANL,2700,fragment,42.6925037
SANL08,SANL,2700,fragment,40.50886667
SANL09,SANL,2700,fence,23.69133333
SANL09,SANL,2700,pasture,6.733533333
SANL09,SANL,2700,tree,25.60726667
