Year,Latitude,Longitude,Location
2015,29.614883,-82.352153,POINT (-82.352153 29.614883)
2019,29.615448,-82.352313,POINT (-82.352313 29.615448)
2015,29.615759,-82.352400,POINT (-82.3524 29.615759)
2016,29.616238,-82.352509,POINT (-82.352509 29.616238)
2019,29.617128,-82.351113,POINT (-82.351113 29.617128)
2016,29.617184,-82.350812,POINT (-82.350812 29.617183999999998)
2017,29.617831,-82.352566,POINT (-82.352566 29.617831000000002)
2019,29.619163,-82.351561,POINT (-82.351561 29.619163)
2019,29.619886,-82.352618,POINT (-82.352618 29.619886000000005)
2015,29.621581,-82.329080,POINT (-82.32908 29.621581)
2014,29.621861,-82.328651,POINT (-82.328651 29.621861000000003)
2019,29.622933,-82.328782,POINT (-82.32878200000002 29.622933000000003)
2019,29.623907,-82.328689,POINT (-82.328689 29.623907)
2017,29.626285,-82.331386,POINT (-82.331386 29.626285)
2018,29.629023,-82.337311,POINT (-82.337311 29.629023)
2019,29.629116,-82.361023,POINT (-82.361023 29.629116)
2017,29.629434,-82.309888,POINT (-82.309888 29.629434000000003)
2019,29.629520,-82.308228,POINT (-82.308228 29.62952)
2019,29.629520,-82.310388,POINT (-82.310388 29.62952)
2019,29.629522,-82.308032,POINT (-82.308032 29.629522)
2019,29.629525,-82.307391,POINT (-82.307391 29.629525)
2019,29.629725,-82.310444,POINT (-82.310444 29.629725)
2019,29.629739,-82.305848,POINT (-82.305848 29.629739)
2019,29.629756,-82.308596,POINT (-82.308596 29.629756000000004)
2019,29.629960,-82.310451,POINT (-82.310451 29.629960000000004)
2019,29.630246,-82.332821,POINT (-82.33282100000001 29.630246)
2019,29.630265,-82.306452,POINT (-82.306452 29.630265)
2019,29.630266,-82.306767,POINT (-82.306767 29.630266)
2019,29.630266,-82.307078,POINT (-82.307078 29.630266)
2014,29.630267,-82.307396,POINT (-82.307396 29.630267)
2018,29.630268,-82.308026,POINT (-82.308026 29.630267999999997)
2019,29.630432,-82.332843,POINT (-82.332843 29.630432)
2019,29.630453,-82.309458,POINT (-82.30945800000002 29.630453)
2019,29.630746,-82.309464,POINT (-82.309464 29.630746)
2019,29.630757,-82.310473,POINT (-82.310473 29.630757)
2019,29.631013,-82.307078,POINT (-82.307078 29.631013)
2019,29.631013,-82.307097,POINT (-82.307097 29.631013)
2019,29.631821,-82.311610,POINT (-82.31161 29.631821000000002)
2018,29.631822,-82.311218,POINT (-82.311218 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2019,29.631822,-82.311438,POINT (-82.311438 29.631822)
2016,29.631826,-82.310268,POINT (-82.310268 29.631826)
2019,29.631831,-82.308054,POINT (-82.308054 29.631830999999995)
2019,29.631831,-82.307743,POINT (-82.307743 29.631830999999995)
2019,29.632028,-82.333427,POINT (-82.333427 29.632028)
2019,29.632141,-82.334023,POINT (-82.334023 29.632141)
2019,29.632259,-82.331312,POINT (-82.331312 29.632259)
2019,29.632329,-82.330452,POINT (-82.330452 29.632329)
2017,29.632399,-82.335394,POINT (-82.335394 29.632399000000003)
2019,29.632425,-82.311893,POINT (-82.311893 29.632425000000005)
2014,29.632470,-82.311651,POINT (-82.311651 29.632470000000005)
2019,29.632496,-82.312646,POINT (-82.312646 29.632496)
2019,29.632577,-82.336436,POINT (-82.336436 29.632577)
2019,29.632645,-82.336932,POINT (-82.336932 29.632645000000004)
2014,29.632749,-82.310664,POINT (-82.310664 29.632749)
