Neighborhood,Black
Ashburn,1
Auburn Gresham,1
Austin,1
Avalon Park,1
Beverly,1
Burnside,1
Calumet Heights,1
Chatham,1
Chicago Lawn,1
Douglas,1
Englewood,1
Fuller Park,1
Grand Boulevard,1
Grand Crossing,1
Hegewisch,1
Humboldt Park,1
Hyde Park,1
Jackson Park,1
Kenwood,1
Morgan Park,1
Near South Side,1
New City,1
North Lawndale,1
Oakland,1
Pullman,1
Riverdale,1
Roseland,1
South Deering,1
Washington Heights,1
Washington Park,1
Woodlawn,1
West pullman,1
West englewood,1
West garfield park,1
Rogers park,1
Albany Park,0
Andersonville,0
Archer Heights,0
Armour Square,0
Avondale,0
Belmont Cragin,0
Boystown,0
Bridgeport,0
Brighton Park,0
Bucktown,0
Chinatown,0
Clearing,0
East Village,0
Edgewater,0
Edison Park,0
Gage Park,0
Galewood,0
Garfield Park,0
Gold Coast,0
Grant Park,0
Greektown,0
Hermosa,0
Irving Park,0
Lincoln Square,0
"Little Italy, UIC",0
Little Village,0
Logan Square,0
Loop,0
Lower West Side,0
Magnificent Mile,0
Mckinley Park,0
Millenium Park,0
Montclare,0
Mount Greenwood,0
North Center,0
Old Town,0
Portage Park,0
Printers Row,0
River North,0
Rush & Division,0
Sheffield & DePaul,0
Streeterville,0
Ukrainian Village,0
United Center,0
West Elsdon,0
West Lawn,0
West Loop,0
West Ridge,0
West Town,0
Wicker Park,0
Wrigleyville,0
