Year,State,Party,Votes
1976,Alabama,democrat,58906
1976,Alabama,democrat,66288
1976,Alabama,democrat,106935
1976,Alabama,democrat,141490
1976,Alabama,democrat,113553
1976,Alabama,democrat,69384
1976,Alabama,democrat,110496
1976,Alaska,democrat,34194
1976,Arizona,democrat,68404
1976,Arizona,democrat,106054
1976,Arizona,democrat,88854
1976,Arizona,democrat,92435
1976,Arkansas,democrat,116217
1976,Arkansas,democrat,144780
1976,Arkansas,democrat,1
1976,California,democrat,160477
1976,California,democrat,88829
1976,California,democrat,139779
1976,California,democrat,75844
1976,California,democrat,103746
1976,California,democrat,86493
1976,California,democrat,147064
1976,California,democrat,122342
1976,California,democrat,116398
1976,California,democrat,111992
1976,California,democrat,107618
1976,California,democrat,61526
1976,California,democrat,135291
1976,California,democrat,123285
1976,California,democrat,92735
1976,California,democrat,104545
1976,California,democrat,103898
1976,California,democrat,56683
1976,California,democrat,68722
1976,California,democrat,71193
1976,California,democrat,101837
1976,California,democrat,68543
1976,California,democrat,130619
1976,California,democrat,108296
1976,California,democrat,57966
1976,California,democrat,59093
1976,California,democrat,94988
1976,California,democrat,114612
1976,California,democrat,82515
1976,California,democrat,82767
1976,California,democrat,83155
1976,California,democrat,92034
1976,California,democrat,77807
1976,California,democrat,100988
1976,California,democrat,87472
1976,California,democrat,90830
1976,California,democrat,49021
1976,California,democrat,103317
1976,California,democrat,86745
1976,California,democrat,102132
1976,California,democrat,94590
1976,California,democrat,103062
1976,California,democrat,93475
1976,Colorado,democrat,103037
1976,Colorado,democrat,121340
1976,Colorado,democrat,89302
1976,Colorado,democrat,76995
1976,Colorado,democrat,64067
1976,Connecticut,democrat,128479
1976,Connecticut,democrat,142684
1976,Connecticut,democrat,121623
1976,Connecticut,democrat,76722
1976,Connecticut,democrat,77308
1976,Connecticut,democrat,134914
1976,Delaware,democrat,102411
1976,Florida,democrat,1
1976,Florida,democrat,1
1976,Florida,democrat,1
1976,Florida,democrat,1
1976,Florida,democrat,96260
1976,Florida,democrat,80821
1976,Florida,democrat,102739
1976,Florida,democrat,103360
1976,Florida,democrat,36630
