Year,State,Party,Votes
1976,Alabama,democrat,659170
1980,Alabama,democrat,636730
1992,Alabama,democrat,690080
1996,Alabama,democrat,662165
2016,Alabama,democrat,729547
1988,Alabama,democrat,549506
2000,Alabama,democrat,692611
2004,Alabama,democrat,693933
1984,Alabama,democrat,551899
2008,Alabama,democrat,813479
2012,Alabama,democrat,795696
1988,Alabama,republican,815576
1992,Alabama,republican,804283
2000,Alabama,republican,941173
2004,Alabama,republican,1176394
1996,Alabama,republican,769044
1976,Alabama,republican,504070
2008,Alabama,republican,1266546
1980,Alabama,republican,654192
1984,Alabama,republican,872849
2012,Alabama,republican,1255925
2016,Alabama,republican,1318255
1976,Alaska,democrat,44058
1980,Alaska,democrat,41842
1992,Alaska,democrat,78294
1996,Alaska,democrat,80380
2016,Alaska,democrat,116454
1988,Alaska,democrat,72584
2000,Alaska,democrat,79004
2004,Alaska,democrat,111025
1984,Alaska,democrat,62007
2008,Alaska,democrat,123594
2012,Alaska,democrat,122640
1988,Alaska,republican,119251
1992,Alaska,republican,102000
2000,Alaska,republican,167398
2004,Alaska,republican,190889
1996,Alaska,republican,122746
1976,Alaska,republican,71555
2008,Alaska,republican,193841
1980,Alaska,republican,86112
1984,Alaska,republican,138377
2012,Alaska,republican,164676
2016,Alaska,republican,163387
1976,Arizona,democrat,295602
1980,Arizona,democrat,246843
1992,Arizona,democrat,543050
1996,Arizona,democrat,653288
2016,Arizona,democrat,1161167
1988,Arizona,democrat,454029
2000,Arizona,democrat,685341
2004,Arizona,democrat,893524
1984,Arizona,democrat,333854
2008,Arizona,democrat,1034707
2012,Arizona,democrat,1025232
1988,Arizona,republican,702541
1992,Arizona,republican,572086
2000,Arizona,republican,781652
2004,Arizona,republican,1104294
1996,Arizona,republican,622073
1976,Arizona,republican,418642
2008,Arizona,republican,1230111
1980,Arizona,republican,529688
1984,Arizona,republican,681416
2012,Arizona,republican,1233654
2016,Arizona,republican,1252401
1976,Arkansas,democrat,498604
1980,Arkansas,democrat,398041
1992,Arkansas,democrat,505823
1996,Arkansas,democrat,475171
2016,Arkansas,democrat,380494
1988,Arkansas,democrat,349237
2000,Arkansas,democrat,422768
2004,Arkansas,democrat,469953
1984,Arkansas,democrat,338646
2008,Arkansas,democrat,422310
2012,Arkansas,democrat,394409
1988,Arkansas,republican,466578
1992,Arkansas,republican,337324
2000,Arkansas,republican,472940
2004,Arkansas,republican,572898
1996,Arkansas,republican,325416
1976,Arkansas,republican,267903
2008,Arkansas,republican,638017
1980,Arkansas,republican,403164
1984,Arkansas,republican,534774
2012,Arkansas,republican,647744
2016,Arkansas,republican,684872
1976,California,democrat,3742284
1980,California,democrat,3082943
1992,California,democrat,5121325
1996,California,democrat,5119835
2016,California,democrat,8753788
1988,California,democrat,4702233
2000,California,democrat,5861203
2004,California,democrat,6745485
1984,California,democrat,3922519
2008,California,democrat,8274473
2012,California,democrat,7854285
1988,California,republican,5054917
1992,California,republican,3630574
2000,California,republican,4567429
2004,California,republican,5509826
1996,California,republican,3828381
1976,California,republican,3882244
2008,California,republican,5011781
1980,California,republican,4522994
1984,California,republican,5467009
2012,California,republican,4839958
2016,California,republican,4483810
1976,Colorado,democrat,460801
1980,Colorado,democrat,368009
1992,Colorado,democrat,629681
1996,Colorado,democrat,671152
2016,Colorado,democrat,1338870
1988,Colorado,democrat,621453
2000,Colorado,democrat,738227
2004,Colorado,democrat,1001732
1984,Colorado,democrat,454975
2008,Colorado,democrat,1288576
2012,Colorado,democrat,1323101
1988,Colorado,republican,728177
1992,Colorado,republican,562850
2000,Colorado,republican,883748
2004,Colorado,republican,1101255
1996,Colorado,republican,691848
1976,Colorado,republican,584278
2008,Colorado,republican,1073589
1980,Colorado,republican,652264
1984,Colorado,republican,821817
2012,Colorado,republican,1185243
2016,Colorado,republican,1202484
1976,Connecticut,democrat,647895
1980,Connecticut,democrat,541732
1992,Connecticut,democrat,682318
1996,Connecticut,democrat,735740
2016,Connecticut,democrat,897572
1988,Connecticut,democrat,676584
2000,Connecticut,democrat,816015
2004,Connecticut,democrat,857488
1984,Connecticut,democrat,569597
2008,Connecticut,democrat,997772
2012,Connecticut,democrat,905083
1988,Connecticut,republican,750241
1992,Connecticut,republican,578313
2000,Connecticut,republican,561094
2004,Connecticut,republican,693826
1996,Connecticut,republican,483109
1976,Connecticut,republican,719261
2008,Connecticut,republican,629428
1980,Connecticut,republican,677210
1984,Connecticut,republican,890877
2012,Connecticut,republican,634892
2016,Connecticut,republican,673215
1976,Delaware,democrat,122461
1980,Delaware,democrat,105754
1992,Delaware,democrat,126054
1996,Delaware,democrat,140355
2016,Delaware,democrat,235603
1988,Delaware,democrat,108647
2000,Delaware,democrat,180068
2004,Delaware,democrat,200152
1984,Delaware,democrat,101656
2008,Delaware,democrat,255459
2012,Delaware,democrat,242584
1988,Delaware,republican,139639
1992,Delaware,republican,102313
2000,Delaware,republican,137288
2004,Delaware,republican,171660
1996,Delaware,republican,99062
1976,Delaware,republican,109780
2008,Delaware,republican,152374
1980,Delaware,republican,111252
1984,Delaware,republican,152190
2012,Delaware,republican,165484
2016,Delaware,republican,185127
1976,Florida,democrat,1636000
1980,Florida,democrat,1419475
1992,Florida,democrat,2071698
1996,Florida,democrat,2546870
2016,Florida,democrat,4504975
1988,Florida,democrat,1656701
2000,Florida,democrat,2912253
2004,Florida,democrat,3583544
1984,Florida,democrat,1448816
2008,Florida,democrat,4282074
2012,Florida,democrat,4237756
1988,Florida,republican,2618885
1992,Florida,republican,2173310
2000,Florida,republican,2912790
2004,Florida,republican,3964522
1996,Florida,republican,2244536
1976,Florida,republican,1469531
2008,Florida,republican,4045624
1980,Florida,republican,2046951
1984,Florida,republican,2730350
2012,Florida,republican,4163447
2016,Florida,republican,4617886
1976,Georgia,democrat,979409
1980,Georgia,democrat,890955
1992,Georgia,democrat,1008966
1996,Georgia,democrat,1053849
2016,Georgia,democrat,1877963
1988,Georgia,democrat,714792
2000,Georgia,democrat,1116230
2004,Georgia,democrat,1366149
1984,Georgia,democrat,706628
2008,Georgia,democrat,1844123
2012,Georgia,democrat,1773827
1988,Georgia,republican,1081331
1992,Georgia,republican,995252
2000,Georgia,republican,1419720
2004,Georgia,republican,1914254
1996,Georgia,republican,1080843
1976,Georgia,republican,483743
2008,Georgia,republican,2048759
1980,Georgia,republican,654168
1984,Georgia,republican,1068722
2012,Georgia,republican,2078688
2016,Georgia,republican,2089104
1976,Hawaii,democrat,147375
1980,Hawaii,democrat,135879
1992,Hawaii,democrat,179310
1996,Hawaii,democrat,205012
2016,Hawaii,democrat,266891
1988,Hawaii,democrat,192364
2000,Hawaii,democrat,205286
2004,Hawaii,democrat,231708
1984,Hawaii,democrat,147154
2008,Hawaii,democrat,325871
2012,Hawaii,democrat,306658
1988,Hawaii,republican,158625
1992,Hawaii,republican,136822
2000,Hawaii,republican,137845
2004,Hawaii,republican,194191
1996,Hawaii,republican,113943
1976,Hawaii,republican,140003
2008,Hawaii,republican,120566
1980,Hawaii,republican,130112
1984,Hawaii,republican,185050
2012,Hawaii,republican,121015
2016,Hawaii,republican,128847
1976,Idaho,democrat,126549
1980,Idaho,democrat,110192
1992,Idaho,democrat,137013
1996,Idaho,democrat,165443
2016,Idaho,democrat,189765
1988,Idaho,democrat,147272
2000,Idaho,democrat,138637
2004,Idaho,democrat,181098
1984,Idaho,democrat,108510
