Year,Tons
1917,7710
1918,23810
1919,35750
1920,43040
1921,24960
1922,16290
1923,29210
1924,45920
1925,67310
1926,69010
1927,81860
1928,98020
1929,120290
1930,160050
1931,109620
1932,69078
1933,89599
1934,152480
1935,230854
1936,184470
1937,206706
1938,104936
1939,180994
1940,227874
1941,165698
1942,250287
1943,184399
1944,213616
1945,237246
1946,145519
1947,31391
1948,17630
1949,47862
1950,131769
1951,33699
1952,15897
1953,49
1954,58
1955,856
1956,518
1957,63
1958,17
1959,24701
1960,16109
1961,2340
1962,2231
1963,1211
1964,1015
1965,308
1966,151
1967,23
