Parcel Unit,Parcel Number,Landlord License Year,Parcel Address,Latitude,Longitude,Location,Parcel City,Location (state),Location (zip),Zip Code Boundaries,2010 Census Tracts,Commission Districts,Gainesville Police Districts,Florida Census Zip Codes
06398-032-000-1,06398-032-000,2019,03825 NW 14TH  PL,29.665536,-82.381663,POINT (-82.381663 29.665536),GAINESVILLE,FL,32605,5,35,3,6,770
05979-054-000-1,05979-054-000,2015,8630 NW 38TH  CIR,,,,GAINESVILLE,FL,32653,,,,,
05977-301-000-1,05977-301-000,2017,8563 NW 40TH  TER,,,,GAINESVILLE,FL,32653,,,,,
05977-319-000-1,05977-319-000,2015,8639 NW 41ST  ST,,,,GAINESVILLE,FL,32653,,,,,
06484-086-000-1,06484-086-000,2019,00118 NW 36TH  DR,29.653316,-82.378254,POINT (-82.378254 29.653316),GAINESVILLE,FL,32607,7,27,3,6,768
08276-002-000-1,08276-002-000,2015,03315 NW 11TH  ST,,,,GAINESVILLE,FL,32609,,,,,
06484-050-000-1,06484-050-000,2019,00507 NW 36TH  TER,29.655487,-82.37745,POINT (-82.37745 29.655486999999997),GAINESVILLE,FL,32607,7,27,3,6,768
05977-005-014-1,05977-005-014,2015,8517 NW 37TH  TER,,,,GAINESVILLE,FL,32653,,,,,
05977-314-000-1,05977-314-000,2017,4117 NW 85TH  PL,,,,GAINESVILLE,FL,32653,,,,,
05977-220-000-1,05977-220-000,2019,8823 NW 40TH  CIR,,,,GAINESVILLE,FL,32653,,,,,
05979-200-000-1,05979-200-000,2015,9136 NW 37TH  CIR,,,,GAINESVILLE,FL,32653,,,,,
05979-095-000-1,05979-095-000,2014,8476 NW 37TH  DR,,,,GAINESVILLE,FL,32653,,,,,
05977-356-000-1,05977-356-000,2019,4190 NW 85TH  PL,,,,GAINESVILLE,FL,32653,,,,,
06528-040-000-1,06528-040-000,2019,03930 SW 2ND  AVE,29.650484,-82.383849,POINT (-82.383849 29.650484),GAINESVILLE,FL,32607,7,33,3,6,768
06535-039-000-1,06535-039-000,2019,03941 SW 5TH  PL,29.647243,-82.384119,POINT (-82.384119 29.647243000000003),GAINESVILLE,FL,32607,7,33,3,6,768
09204-000-000-1,09204-000-000,2019,00860 NW 20TH  ST,29.660394,-82.349298,POINT (-82.349298 29.660394),GAINESVILLE,FL,32603,3,16,4,4,771
15728-010-000-1,15728-010-000,2019,929 SE 9TH  ST,29.642678,-82.31513,POINT (-82.31513 29.642678),GAINESVILLE,FL,32601,1,5,1,1,772
08103-000-000-1,08103-000-000,2019,01201 NW 44TH  AVE,29.694553,-82.337081,POINT (-82.337081 29.694553),GAINESVILLE,FL,32609,4,3,1,4,766
06462-043-000-1,06462-043-000,2019,00016 NW 29TH  ST,29.65286,-82.36638,POINT (-82.36638 29.65286),GAINESVILLE,FL,32607,7,16,3,6,768
15343-000-000-1,15343-000-000,2019,01615 NW 7TH  AVE,29.657553,-82.343658,POINT (-82.343658 29.657553),GAINESVILLE,FL,32603,3,16,4,1,771
15066-000-000-1,15066-000-000,2019,01914 NW 4TH  AVE,29.654874,-82.348293,POINT (-82.348293 29.654874),GAINESVILLE,FL,32603,3,16,4,6,771
09564-000-000-1,09564-000-000,2019,01004 NW 15TH  AVE,29.665742,-82.335358,POINT (-82.335358 29.665742),GAINESVILLE,FL,32601,1,2,4,4,772
06410-009-000-1,06410-009-000,2019,02007 NW 36TH  TER,29.671581,-82.377041,POINT (-82.377041 29.671580999999996),GAINESVILLE,FL,32605,5,8,3,6,770
15075-001-000-1,15075-001-000,2019,02002 NW 3RD  AVE,29.654012,-82.349471,POINT (-82.349471 29.654011999999998),GAINESVILLE,FL,32603,3,16,4,6,771
15076-000-000-1,15076-000-000,2019,02008 NW 3RD  AVE,29.654019,-82.349637,POINT (-82.349637 29.654019),GAINESVILLE,FL,32603,3,16,4,6,771
15435-000-000-1,15435-000-000,2019,02016 NW 7TH  PL,29.658493,-82.35005,POINT (-82.35005 29.658493),GAINESVILLE,FL,32603,3,16,4,6,771
07916-012-000-1,07916-012-000,2019,04025 NW 20TH  TER,29.69054,-82.349786,POINT (-82.349786 29.690540000000002),GAINESVILLE,FL,32605,5,9,2,4,770
06484-073-000-1,06484-073-000,2019,00217 NW 36TH  TER,29.65386,-82.377446,POINT (-82.377446 29.65386),GAINESVILLE,FL,32607,7,27,3,6,768
06484-088-000-1,06484-088-000,2019,00107 NW 36TH  DR,29.653008,-82.378251,POINT (-82.378251 29.653008),GAINESVILLE,FL,32607,7,27,3,6,768
06088-005-008-1,06088-005-008,2019,02630 NW 27TH  TER,29.676441,-82.362958,POINT (-82.362958 29.676441000000004),GAINESVILLE,FL,32605,5,8,2,7,770
10603-025-000-1,10603-025-000,2019,01128 NE 22ND  AVE,29.673022,-82.310768,POINT (-82.31076800000001 29.673022000000003),GAINESVILLE,FL,32609,4,12,2,2,766
