Year,State,Cantidate,Party,Votes
1992,Connecticut,Christopher J. Dodd,a connecticut party,304907
1994,Connecticut,Joseph I. Lieberman,a connecticut party,280049
2004,Alaska,Scott A. Kohlhaas,alaska libertarian,1240
2002,Alaska,Jim Dore,alaskan independence,6724
2004,Alaska,Jerry Sanders,alaskan independence,3785
2008,Alaska,Bob Bird,alaskan independence,13197
2012,New Jersey,Inder ??Andy?? Soni,america first,3593
1976,Delaware,Donald G. Gies,american,646
1976,Minnesota,Paul Helm,american,125612
1976,New Mexico,"Malcolm ""Matt"" Dillon",american,906
1976,North Dakota,Clarence Haggard,american,3824
1976,Ohio,Donald E. Babcock,american,36979
1976,Texas,Marjorie P. Gallion,american,17355
1976,Utah,George Merl Batchelor,american,4913
1978,Delaware,Donald G. Gies,american,1663
1978,Kentucky,Anthony Albert McCord,american,10244
1978,Minnesota,Paul Helm,american,45402
1978,Minnesota,Sal Carlone,american,23261
1980,Utah,George M. Batchelor,american,1983
1982,Delaware,Charles A. Baker,american,537
1982,Indiana,Raymond James,american,10586
1982,Utah,Lawrence R. Kauffman,american,953
1984,Kansas,Marian Ruck Jackson,american,6918
1986,Indiana,Rockland R. Snyder,american,5914
1986,South Carolina,Ray Hillyard,american,4588
1988,Utah,Robert J. Smith,american,6016
1990,South Carolina,Marion C. Metts,american,10317
1992,South Carolina,Robert Barnwell Clarkson II,american,11568
1994,Utah,Gary R. Van Horn,american,2543
2014,South Carolina,Jill Bossi,american,21652
2016,South Carolina,Rebel Michael Scarborough,american,11923
1998,Colorado,Kevin Swanson,american constitution,9775
2002,Colorado,"Doulgas ""Dayhorse"" Campbell",american constitution,21547
2004,Colorado,"Douglas ""Dayhorse"" Campbell",american constitution,18783
2008,Colorado,"Douglas ""Dayhorse"" Campbell",american constitution party,59733
1976,California,Jack McCoy,american independent,82739
1976,Connecticut,Robert Barnabei,american independent,14407
1980,California,James C. (Jim) Griffin,american independent,129573
1980,Wisconsin,James P. Wickstrom,american independent,16156
1982,California,"Theresa ""Tena"" Dietrich",american independent,83809
1982,Michigan,Daniel Eller,american independent,12660
1992,California,Paul Meeuwenberg,american independent,281973
1992,California,"Jerome ""Jerry"" McCready",american independent,373051
1994,California,Paul Meeuwenberg,american independent,142771
1998,California,"H. Joseph Perrin, Sr.",american independent,54699
2000,California,Diane Beall Templin,american independent,134598
2004,California,Don J. Grundmann,american independent,81224
2010,California,Edward C. Noonan,american independent,125441
2016,Hawaii,"John M. ""Raghu"" Giuffre",american shopping party,1393
2006,Vermont,Peter Moss,anti-bushist candidate,1518
2010,New York,Vivia Morgan,anti-prohibition,11787
2014,Iowa,Bob Quast,bob quast for term limits,5873
2008,New Jersey,Jeffrey Boss,boss for senate,10345
2004,New York,Abraham Hirschfeld,builders,16196
1980,Iowa,Garry De Young,by petition,5858
1980,Iowa,John Ingram Henderson,by petition,2336
2014,Nebraska,Todd F. Watson,by petition,6260
2014,Nebraska,Jim Jenkins,by petition,15868
1992,Colorado,Matt Noah,chsritian pro-life,22846
1980,Connecticut,Louis Zemel,citizens,4772
1980,Illinois,Sidney Lens,citizens,19213
1980,Pennsylvania,Lee Frissell,citizens,16089
1982,Texas,Lineaus Hooper Lorette,citizens,4564
1982,Vermont,Ion Laskaris,citizens,897
1984,Illinois,Marjorie H. Pries,citizens,12366
2000,Nevada,Bill Grutzmacher,citizens first,1579
2012,New York,John Mangelli,common sense,21985
1976,Minnesota,Matt Savola,communist,2214
1976,New York,Herbert Aptheker,communist,25141
1976,Pennsylvania,Frank Kinces,communist,2097
1976,Rhode Island,Margaret R. Cann,communist,912
1980,Illinois,Charles F. Wilson,communist,11453
1980,New York,William R. Scott,communist,4161
1980,Pennsylvania,Frank Kinces,communist,3334
1984,Illinois,Ishmael Flory,communist,4802
1984,Kansas,Lucille Bieger,communist,9380
