state,county,geoid,distance,lives
FL,Alachua,12001000200,63.67868583,44.8
FL,Alachua,12001000301,63.24740078,45.5
FL,Alachua,12001000302,62.88200531,57.7
FL,Alachua,12001000400,61.68828104,38.8
FL,Alachua,12001000500,62.61734468,48.8
FL,Alachua,12001000600,60.99866776,54.7
FL,Alachua,12001000700,61.59631189,57.3
FL,Alachua,12001000806,63.85140651,51.4
FL,Alachua,12001000808,64.1640196,56.6
FL,Alachua,12001000809,65.00553453,50.1
FL,Alachua,12001000901,65.01478799,41.6
FL,Alachua,12001000902,64.4586005,53.2
FL,Alachua,12001001000,64.79712974,45
FL,Alachua,12001001100,65.19055712,53.1
FL,Alachua,12001001201,65.30406238,48.1
FL,Alachua,12001001202,64.40406896,49.4
FL,Alachua,12001001203,63.68949023,44.1
FL,Alachua,12001001400,59.51975958,59.1
FL,Alachua,12001001514,65.78596867,48.3
FL,Alachua,12001001515,65.91873146,48.6
FL,Alachua,12001001516,65.84627896,41.9
FL,Alachua,12001001517,66.33104604,47.8
FL,Alachua,12001001519,66.97721367,46.9
FL,Alachua,12001001520,66.84164166,49.6
FL,Alachua,12001001521,67.01675836,43.1
FL,Alachua,12001001603,66.40491341,49.2
FL,Alachua,12001001604,67.17370181,57.7
FL,Alachua,12001001701,68.10603697,61
FL,Alachua,12001001702,67.03830813,59.1
FL,Alachua,12001001801,70.87113753,56.1
FL,Alachua,12001001802,66.17049988,53.8
FL,Alachua,12001001803,65.10052913,60.4
FL,Alachua,12001001805,70.02159324,56.1
FL,Alachua,12001001806,76.7830476,50.6
FL,Alachua,12001001811,67.90614558,51.2
FL,Alachua,12001001813,67.53359316,43.6
FL,Alachua,12001001814,67.74200541,60.5
FL,Alachua,12001001902,60.15957121,51.2
FL,Alachua,12001001907,52.40040226,60.2
FL,Alachua,12001001908,58.85485388,59.7
FL,Alachua,12001002000,53.48164965,58.4
FL,Alachua,12001002101,62.03359752,51.8
FL,Alachua,12001002102,68.56679862,53.8
FL,Alachua,12001002201,75.40911884,46.9
FL,Alachua,12001002202,75.91445207,37.4
FL,Alachua,12001002204,71.72850612,40.2
FL,Alachua,12001002205,71.31718325,55.4
FL,Alachua,12001002207,69.36090541,50.6
FL,Alachua,12001002208,70.78148858,51.8
FL,Alachua,12001002209,74.48119604,42
FL,Alachua,12001002210,81.78400886,54.2
FL,Alachua,12001002217,68.55518643,45.8
FL,Alachua,12001002218,68.72138334,57.4
FL,Alachua,12001002219,68.56799787,48.8
FL,Alachua,12001002220,68.69033902,46.3
FL,Alachua,12001110800,65.63743423,42.1
FL,Baker,12003040101,54.95903733,59.7
FL,Baker,12003040102,53.47056563,54.7
FL,Baker,12003040201,70.09826858,46.1
FL,Baker,12003040202,59.50104202,43.6
FL,Bay,12005000201,267.8773294,35.7
FL,Bay,12005000202,268.9693483,40.3
FL,Bay,12005000300,250.356035,37.7
FL,Bay,12005000400,255.2138958,36.9
FL,Bay,12005000500,250.3167277,28.2
FL,Bay,12005000600,246.1608543,43.3
FL,Bay,12005000700,254.3296982,29
FL,Bay,12005000803,256.2229932,43.3
FL,Bay,12005000804,254.859145,40.8
FL,Bay,12005000805,256.5030129,27.6
FL,Bay,12005000806,254.9656928,36.3
FL,Bay,12005000900,257.5104998,31
FL,Bay,12005001000,258.4092859,39.2
FL,Bay,12005001100,257.7269172,40.5
FL,Bay,12005001200,258.5412826,32
FL,Bay,12005001301,258.3659422,24.9
FL,Bay,12005001302,259.3880313,27.3
FL,Bay,12005001402,259.4912609,35.8
FL,Bay,12005001403,261.186456,29.2
FL,Bay,12005001404,261.9987118,25.4
FL,Bay,12005001501,262.5464275,28.6
FL,Bay,12005001502,261.7601283,35.9
FL,Bay,12005001600,260.4680459,28.3
FL,Bay,12005001700,259.3722851,31.2
FL,Bay,12005001800,259.1790437,28.8
FL,Bay,12005001900,260.2420575,45
FL,Bay,12005002000,261.151658,31.3
FL,Bay,12005002200,262.2972769,38.6
FL,Bay,12005002300,263.2146824,30.7
FL,Bay,12005002400,264.4375888,35.2
FL,Bay,12005002500,264.1953975,27.6
FL,Bay,12005002601,266.4294034,30
FL,Bay,12005002603,267.8209157,33.9
FL,Bay,12005002604,267.4884884,26.8
FL,Bay,12005002605,268.2944913,31.9
FL,Bay,12005002606,267.3108241,34
FL,Bay,12005002607,263.2647686,30.8
FL,Bay,12005002608,264.4685206,44.2
FL,Bay,12005002701,278.454193,32.4
FL,Bay,12005002702,276.1752154,27.6
FL,Bay,12005002703,273.6227263,35.3
FL,Bay,12005002704,270.3016303,42
FL,Bay,12005002705,269.6027343,33.7
FL,Bradford,12007000100,45.9842215,43.7
FL,Bradford,12007000200,53.15484133,49.3
FL,Bradford,12007000300,53.44322343,51.6
FL,Bradford,12007000400,48.61994699,63.6
FL,Brevard,12009060101,86.19523542,42.1
FL,Brevard,12009060102,85.64858598,52.5
FL,Brevard,12009060200,92.46295879,53.2
FL,Brevard,12009060300,91.23605515,50.7
FL,Brevard,12009060400,93.11083519,44.2
FL,Brevard,12009060500,93.2676643,42.2
FL,Brevard,12009060600,94.97635617,48.7
FL,Brevard,12009060700,94.4642705,43.2
FL,Brevard,12009061001,96.50704196,54.8
FL,Brevard,12009061002,97.39881215,58.4
FL,Brevard,12009061100,97.12165077,47
FL,Brevard,12009061201,98.77002054,51.4
FL,Brevard,12009061202,100.8835991,37.7
FL,Brevard,12009062103,108.6250391,47.7
FL,Brevard,12009062104,104.3318482,44.6
FL,Brevard,12009062106,103.6443426,51.2
FL,Brevard,12009062107,108.2799898,50.2
FL,Brevard,12009062108,103.1895847,48.1
FL,Brevard,12009062109,105.0851067,41.6
FL,Brevard,12009062301,111.5205574,37.7
FL,Brevard,12009062302,110.3529195,36.6
FL,Brevard,12009062400,110.4573876,48.1
FL,Brevard,12009062500,111.6433957,35.7
FL,Brevard,12009062600,112.3421692,42.4
FL,Brevard,12009062800,119.0439719,38.9
FL,Brevard,12009062900,113.199923,44.2
FL,Brevard,12009063000,115.1139576,42.1
FL,Brevard,12009063102,118.1412749,45.8
FL,Brevard,12009063104,116.0104123,41.5
FL,Brevard,12009063105,115.0705654,37.2
FL,Brevard,12009063106,119.639097,50.7
FL,Brevard,12009063107,120.202877,45.2
FL,Brevard,12009064102,125.3292975,53.1
FL,Brevard,12009064123,127.3703415,58.7
FL,Brevard,12009064124,126.1930531,47.4
FL,Brevard,12009064125,127.741609,47
FL,Brevard,12009064126,126.0584728,41.5
FL,Brevard,12009064127,124.1595768,43.7
FL,Brevard,12009064128,121.706632,53.5
FL,Brevard,12009064201,129.8042133,54.7
FL,Brevard,12009064202,128.3581763,46.2
FL,Brevard,12009064301,128.0515085,46.3
FL,Brevard,12009064302,128.839035,50.7
FL,Brevard,12009064400,129.5238376,44.2
FL,Brevard,12009064500,128.8021392,49.8
FL,Brevard,12009064601,130.9727062,51.4
FL,Brevard,12009064602,129.4817403,42
FL,Brevard,12009064700,131.168381,37.3
FL,Brevard,12009064800,132.2254794,44.7
FL,Brevard,12009064901,133.5164818,45.3
FL,Brevard,12009064902,133.6494049,45.9
FL,Brevard,12009065001,132.2396858,48.8
FL,Brevard,12009065021,133.6253423,47.8
FL,Brevard,12009065022,133.213605,44.8
FL,Brevard,12009065121,136.1343211,45.3
FL,Brevard,12009065122,136.4827824,39.1
FL,Brevard,12009065123,135.6691229,45.3
FL,Brevard,12009065124,134.3300773,33.9
FL,Brevard,12009065125,134.9726111,42.6
FL,Brevard,12009065201,137.2335119,48.3
FL,Brevard,12009065202,137.6301275,42.4
FL,Brevard,12009065231,140.9290468,44.1
FL,Brevard,12009065234,149.073387,37.3
FL,Brevard,12009065235,147.2535362,42.1
FL,Brevard,12009065236,144.7970116,52.4
FL,Brevard,12009066101,135.1378182,43.4
FL,Brevard,12009066103,136.5585095,47.2
FL,Brevard,12009066104,143.6035583,40.8
FL,Brevard,12009066200,133.2741452,56.7
FL,Brevard,12009066301,130.6213295,44.2
FL,Brevard,12009066302,131.473048,44.8
FL,Brevard,12009066400,129.0073812,47.1
FL,Brevard,12009066500,128.1251795,54.2
FL,Brevard,12009066600,127.6532897,42.8
FL,Brevard,12009066700,126.4426374,44.6
FL,Brevard,12009066800,125.8325553,49.7
FL,Brevard,12009066900,124.744476,41.5
FL,Brevard,12009067100,121.7152268,52.5
FL,Brevard,12009068101,119.0154056,47.5
FL,Brevard,12009068102,118.3023337,46.2
FL,Brevard,12009068200,115.5498538,57.3
FL,Brevard,12009068300,116.0065797,48.1
FL,Brevard,12009068400,114.3720149,43.5
FL,Brevard,12009068501,113.5468737,57.1
FL,Brevard,12009068502,113.3438307,40.4
FL,Brevard,12009068601,111.4397375,55
FL,Brevard,12009068602,112.2718896,55
FL,Brevard,12009069100,111.5975285,44.6
FL,Brevard,12009069200,113.2379472,56.1
FL,Brevard,12009069300,115.6721484,50.3
FL,Brevard,12009069400,121.4548095,39.8
FL,Brevard,12009069700,111.9351002,44.8
FL,Brevard,12009069801,110.627596,40.6
FL,Brevard,12009069802,112.3800902,52
FL,Brevard,12009069901,100.0736231,43.1
FL,Brevard,12009069902,110.8167489,54.9
FL,Brevard,12009071100,90.75216296,59.3
FL,Brevard,12009071200,106.4119405,47.4
FL,Brevard,12009071301,132.4064494,54.7
FL,Brevard,12009071322,138.507206,52.6
FL,Brevard,12009071332,139.5756419,37.3
FL,Brevard,12009071334,135.4454044,50.1
FL,Brevard,12009071335,135.445246,55.3
FL,Brevard,12009071336,136.9246084,41.3
FL,Brevard,12009071337,134.7324245,41.4
FL,Brevard,12009071338,134.9578685,33.9
FL,Brevard,12009071339,141.7476536,45.5
FL,Brevard,12009071340,141.313606,39.1
FL,Brevard,12009071400,96.10084664,42.2
FL,Brevard,12009071500,111.4344285,54.4
FL,Brevard,12009071600,113.4898523,35.1
FL,Brevard,12009980000,107.9842687,50.5
FL,Broward,12011010102,259.5582609,43.7
FL,Broward,12011010103,258.6766203,35.3
FL,Broward,12011010104,258.7500807,30.3
FL,Broward,12011010200,258.6117342,36.4
FL,Broward,12011010304,258.9071565,30.7
FL,Broward,12011010305,258.1781675,43.7
FL,Broward,12011010306,258.3662783,32.4
FL,Broward,12011010307,257.4396629,35.4
FL,Broward,12011010308,256.9747256,35.2
FL,Broward,12011010401,256.6560927,33.4
FL,Broward,12011010402,257.3568024,28.2
FL,Broward,12011010403,257.8247011,26.6
FL,Broward,12011010405,259.7650023,26.5
FL,Broward,12011010406,258.3183458,26.8
FL,Broward,12011010407,258.6727225,34
FL,Broward,12011010502,256.2888014,37.3
FL,Broward,12011010503,254.6724553,27.2
FL,Broward,12011010504,256.3058593,27.4
FL,Broward,12011010601,256.3699121,27.5
FL,Broward,12011010603,256.9726068,40
FL,Broward,12011010604,257.4344316,28.8
FL,Broward,12011010605,257.6525764,27.9
FL,Broward,12011010606,258.3895748,28.2
FL,Broward,12011010607,258.5665786,22.9
FL,Broward,12011010609,257.0351565,32.1
FL,Broward,12011010610,257.0125733,37.5
FL,Broward,12011010611,256.762372,41.8
FL,Broward,12011010612,256.511819,46
FL,Broward,12011010701,259.4666596,25.4
FL,Broward,12011010702,259.7977243,31.9
FL,Broward,12011010800,260.074347,31.9
FL,Broward,12011010901,260.699813,29.3
FL,Broward,12011010902,260.2058589,46.3
FL,Broward,12011011000,260.8406145,40.7
