hole_id,cheese_status,location,num_of_mice
1,Good,DataDog,5
2,Bad,DataDog,4
3,Good,DataDog,1
4,Good,DataDog,2
5,Good,DataDog,2
6,Good,DataDog,1
7,Good,DataDog,1
8,Good,DataDog,7
9,Good,DataDog,3
10,Good,DataDog,1
11,Good,DataDog,3
12,Good,DataDog,3
13,Good,DataDog,3
14,Good,DataDog,7
15,Good,DataDog,3
16,Good,DataDog,3
17,Bad,DataDog,2
18,Good,DataDog,5
19,Good,DataDog,3
20,Good,DataDog,2
21,Good,DataDog,8
22,Good,DataDog,1
23,Good,DataDog,5
24,Good,DataDog,7
25,Good,DataDog,3
26,Good,DataDog,7
27,Good,DataDog,1
28,Good,DataDog,5
29,Bad,DataDog,1
30,Bad,DataDog,2
31,Good,DataDog,8
32,Good,DataDog,4
33,Good,DataDog,9
34,Good,DataDog,3
35,Good,DataDog,8
36,Good,DataDog,1
37,Bad,DataDog,9
38,Good,DataDog,3
39,Good,DataDog,5
40,Good,DataDog,4
41,Good,DataDog,4
42,Good,DataDog,1
43,Bad,DataDog,1
44,Good,DataDog,1
45,Good,DataDog,2
46,Bad,DataDog,8
47,Good,DataDog,1
48,Good,DataDog,2
49,Good,DataDog,7
50,Good,DataDog,4
51,Good,DataDog,4
52,Good,DataDog,1
53,Bad,DataDog,3
54,Good,DataDog,1
55,Bad,DataDog,4
56,Good,DataDog,2
57,Bad,DataDog,2
58,Bad,DataDog,5
59,Good,DataDog,3
60,Good,DataDog,4
61,Good,DataDog,2
62,Good,DataDog,2
63,Good,DataDog,7
64,Good,DataDog,6
65,Good,DataDog,6
66,Good,DataDog,3
67,Good,DataDog,1
68,Good,DataDog,8
69,Bad,DataDog,6
70,Good,DataDog,7
71,Good,DataDog,2
72,Good,DataDog,8
73,Good,DataDog,2
74,Good,DataDog,8
