year,state,species,pounds,dollars
2017,Connecticut,"COD, ATLANTIC",937,2299
2017,Maine,"COD, ATLANTIC",80572,218948
2017,Massachusetts,"COD, ATLANTIC",1583103,3774367
2017,New Hampshire,"COD, ATLANTIC",70960,148949
2017,Rhode Island,"COD, ATLANTIC",113229,278573
2016,Connecticut,"COD, ATLANTIC",25660,48890
2016,Maine,"COD, ATLANTIC",166081,341501
2016,Massachusetts,"COD, ATLANTIC",2723903,5164264
2016,New Hampshire,"COD, ATLANTIC",55161,108694
2016,New Jersey,"COD, ATLANTIC",1030,2638
2016,Rhode Island,"COD, ATLANTIC",209647,393896
2015,Connecticut,"COD, ATLANTIC",1968,3819
2015,Maine,"COD, ATLANTIC",254594,496878
2015,Massachusetts,"COD, ATLANTIC",2913481,5528195
2015,New Hampshire,"COD, ATLANTIC",44701,93296
2015,New Jersey,"COD, ATLANTIC",71,133
2015,Rhode Island,"COD, ATLANTIC",138926,281061
2014,Connecticut,"COD, ATLANTIC",523,1131
2014,Maine,"COD, ATLANTIC",404122,884371
2014,Massachusetts,"COD, ATLANTIC",4294491,7493636
2014,New Hampshire,"COD, ATLANTIC",263360,571297
2014,New Jersey,"COD, ATLANTIC",138,331
2014,Rhode Island,"COD, ATLANTIC",195072,382004
2013,Connecticut,"COD, ATLANTIC",39,109
2013,Maine,"COD, ATLANTIC",286298,737685
2013,Massachusetts,"COD, ATLANTIC",4145406,8376560
2013,New Hampshire,"COD, ATLANTIC",229870,546314
2013,New Jersey,"COD, ATLANTIC",1015,2136
2013,Rhode Island,"COD, ATLANTIC",290386,722988
2012,Connecticut,"COD, ATLANTIC",7256,14223
2012,Maine,"COD, ATLANTIC",492714,1234332
2012,Maryland,"COD, ATLANTIC",63,174
2012,Massachusetts,"COD, ATLANTIC",8980225,18550352
2012,New Hampshire,"COD, ATLANTIC",725454,1750161
2012,New Jersey,"COD, ATLANTIC",875,1803
2012,Rhode Island,"COD, ATLANTIC",271417,582177
2011,Connecticut,"COD, ATLANTIC",2,4
2011,Maine,"COD, ATLANTIC",814077,1617500
2011,Maryland,"COD, ATLANTIC",76,173
2011,Massachusetts,"COD, ATLANTIC",15012062,27582585
2011,New Hampshire,"COD, ATLANTIC",1286312,2499574
