state,county,geoid,lives
FL,Alachua,12001000200,21.7
FL,Alachua,12001000301,27.4
FL,Alachua,12001000302,34.8
FL,Alachua,12001000400,32.2
FL,Alachua,12001000500,33.3
FL,Alachua,12001000600,28.7
FL,Alachua,12001000700,37.9
FL,Alachua,12001000806,23.4
FL,Alachua,12001000808,24.4
FL,Alachua,12001000809,31.1
FL,Alachua,12001000901,20
FL,Alachua,12001000902,19.5
FL,Alachua,12001001000,23.6
FL,Alachua,12001001100,48.7
FL,Alachua,12001001201,41
FL,Alachua,12001001202,34.1
FL,Alachua,12001001203,28.6
FL,Alachua,12001001400,33.8
FL,Alachua,12001001514,24
FL,Alachua,12001001515,22.1
FL,Alachua,12001001516,23.6
FL,Alachua,12001001517,23.3
FL,Alachua,12001001519,21.9
FL,Alachua,12001001520,22.6
FL,Alachua,12001001521,23.5
FL,Alachua,12001001603,25
FL,Alachua,12001001604,23.2
FL,Alachua,12001001701,34.3
FL,Alachua,12001001702,47.8
FL,Alachua,12001001801,43.4
FL,Alachua,12001001802,42.5
FL,Alachua,12001001803,40.7
FL,Alachua,12001001805,43
FL,Alachua,12001001806,40.4
FL,Alachua,12001001811,36.7
FL,Alachua,12001001813,46.3
FL,Alachua,12001001814,44
FL,Alachua,12001001902,31.2
FL,Alachua,12001001907,48.5
FL,Alachua,12001001908,43.9
FL,Alachua,12001002000,47
FL,Alachua,12001002101,51.8
FL,Alachua,12001002102,51.6
FL,Alachua,12001002201,39.6
FL,Alachua,12001002202,44.1
FL,Alachua,12001002204,37.8
FL,Alachua,12001002205,41.5
FL,Alachua,12001002207,42.6
FL,Alachua,12001002208,45.2
FL,Alachua,12001002209,37.4
FL,Alachua,12001002210,37.5
FL,Alachua,12001002217,25.1
FL,Alachua,12001002218,26.9
FL,Alachua,12001002219,29.7
FL,Alachua,12001002220,40
FL,Alachua,12001110800,51.3
FL,Baker,12003040101,33.7
FL,Baker,12003040102,39
FL,Baker,12003040201,35.3
FL,Baker,12003040202,36.2
FL,Bay,12005000201,37.5
FL,Bay,12005000202,43.4
FL,Bay,12005000300,39.5
FL,Bay,12005000400,41.5
FL,Bay,12005000500,35.6
FL,Bay,12005000600,55
FL,Bay,12005000700,22.2
FL,Bay,12005000803,34.7
FL,Bay,12005000804,39.1
FL,Bay,12005000805,39.1
FL,Bay,12005000806,40.1
FL,Bay,12005000900,41
FL,Bay,12005001000,38.8
FL,Bay,12005001100,34.6
FL,Bay,12005001200,33.1
FL,Bay,12005001301,39.1
FL,Bay,12005001302,34.2
FL,Bay,12005001402,43.2
FL,Bay,12005001403,42.2
FL,Bay,12005001404,40.9
FL,Bay,12005001501,40.4
FL,Bay,12005001502,44.4
FL,Bay,12005001600,40.4
FL,Bay,12005001700,34.6
FL,Bay,12005001800,38.1
FL,Bay,12005001900,46.5
FL,Bay,12005002000,48.9
FL,Bay,12005002200,35.3
FL,Bay,12005002300,40.7
FL,Bay,12005002400,33
FL,Bay,12005002500,49.9
