meta_id,genus,species,mom_cnt,mom_newborn_pct,newborn_cnt,four_month_pct,four_month_cnt,yr_pct,yr_cnt
MS00001,Acidaminococcus,Acidaminococcus_D21,3,0.0000,0,0.0000,0,0.0000,4
MS00002,Acidaminococcus,Acidaminococcus_fermentans,0,0.0000,0,0.0000,0,0.0000,0
MS00003,Acidovorax,Acidovorax_delafieldii,0,0.0000,0,0.0000,0,0.0000,0
MS00004,Acidovorax,Acidovorax_ebreus,0,0.0000,0,0.0000,0,0.0000,0
MS00005,Acidovorax,Acidovorax_avenae/Acidovorax_citrulli,0,0.0000,0,0.0000,0,0.0000,0
MS00006,Actinobacillus,Actinobacillus_ureae,0,0.0000,1,0.0000,0,0.0000,1
MS00007,Actinobacillus,Actinobacillus_succinogenes,0,0.0000,0,0.0000,0,0.0000,0
MS00008,Actinobacillus,Actinobacillus_pleuropneumoniae,0,0.0000,0,0.0000,0,0.0000,0
MS00009,Actinobacillus,Actinobacillus_minor,0,0.0000,1,0.0000,0,0.0000,1
MS00010,Actinomyces,Actinomyces_urogenitalis,1,1.0000,1,1.0000,5,0.2000,1
MS00011,Actinomyces,Actinomyces_oral_taxon_178_F0338,0,0.0000,0,0.0000,1,0.0000,0
MS00012,Actinomyces,Actinomyces_oral_taxon_448_F0400,1,0.0000,0,0.0000,0,0.0000,0
MS00013,Actinomyces,Actinomyces_odontolyticus,8,0.3750,5,1.0000,14,0.6429,10
MS00014,Actinomyces,Actinomyces_viscosus/Actinomyces_oris,3,0.0000,0,0.0000,0,0.0000,1
MS00015,Aeromonas,Aeromonas_caviae,1,0.0000,0,0.0000,0,0.0000,0
MS00016,Aeromonas,Aeromonas_hydrophila,1,0.0000,0,0.0000,0,0.0000,0
MS00017,Aeromonas,Aeromonas_veronii,1,0.0000,0,0.0000,0,0.0000,0
MS00018,Aeromonas,Aeromonas_salmonicida,1,0.0000,0,0.0000,0,0.0000,0
MS00019,Aggregatibacter,Aggregatibacter_segnis,0,0.0000,3,0.0000,0,0.0000,2
MS00020,Aggregatibacter,Aggregatibacter_aphrophilus,0,0.0000,3,0.0000,0,0.0000,2
MS00021,Aggregatibacter,Aggregatibacter_actinomycetemcomitans,0,0.0000,1,0.0000,0,0.0000,0
MS00022,Akkermansia,Akkermansia_muciniphila,5,0.2000,1,1.0000,1,1.0000,6
MS00023,Alicycliphilus,Alicycliphilus_denitrificans,0,0.0000,0,0.0000,0,0.0000,0
MS00024,Alistipes,Alistipes_HGB5,13,0.0000,0,0.0000,0,0.0000,7
MS00025,Alistipes,Alistipes_putredinis,12,0.0000,0,0.0000,0,0.0000,3
MS00026,Anaerococcus,Anaerococcus_prevotii,1,0.0000,0,0.0000,0,0.0000,1
MS00027,Anaerococcus,Anaerococcus_lactolyticus,2,0.0000,1,1.0000,1,0.0000,2
MS00028,Anaerococcus,Anaerococcus_vaginalis,4,0.0000,0,0.0000,7,0.7143,8
MS00029,Anaerococcus,Anaerococcus_tetradius,1,0.0000,0,0.0000,0,0.0000,0
MS00030,Anaerococcus,Anaerococcus_hydrogenalis,1,0.0000,0,0.0000,1,0.0000,1
MS00031,Anaerostipes,Anaerostipes_caccae,1,0.0000,0,0.0000,4,1.0000,13
MS00032,Anaerotruncus,Anaerotruncus_colihominis,15,0.0000,0,0.0000,4,1.0000,15
MS00033,Arcobacter,Arcobacter_butzleri,0,0.0000,0,0.0000,0,0.0000,0
MS00034,Avibacterium,Avibacterium_paragallinarum,0,0.0000,0,0.0000,0,0.0000,0
MS00035,Azotobacter,Azotobacter_vinelandii,0,0.0000,0,0.0000,0,0.0000,0
MS00036,Bacteroides,Bacteroides_finegoldii,12,0.0000,0,0.0000,0,0.0000,3
MS00037,Bacteroides,Bacteroides_caccae,13,0.0000,0,0.0000,1,1.0000,5
MS00038,Bacteroides,Bacteroides_stercoris,11,0.0000,0,0.0000,1,1.0000,5
MS00039,Bacteroides,Bacteroides_coprocola,3,0.0000,0,0.0000,0,0.0000,2
MS00040,Bacteroides,Bacteroides_fluxus,1,0.0000,0,0.0000,0,0.0000,0
MS00041,Bacteroides,Bacteroides_clarus,5,0.0000,0,0.0000,0,0.0000,1
MS00042,Bacteroides,Bacteroides_coprophilus,4,0.0000,1,1.0000,1,1.0000,2
MS00043,Bacteroides,Bacteroides_salanitronis,5,0.0000,0,0.0000,0,0.0000,2
MS00044,Bacteroides,Bacteroides_pectinophilus,14,0.0000,0,0.0000,0,0.0000,8
MS00045,Bacteroides,Bacteroides_fragilis1,6,0.0000,0,0.0000,0,0.0000,2
MS00046,Bacteroides,Bacteroides_capillosus,14,0.0000,0,0.0000,2,1.0000,12
MS00047,Bacteroides,Bacteroides_plebeius,7,0.0000,1,1.0000,2,1.0000,5
MS00048,Bacteroides,Bacteroides_helcogenes,0,0.0000,0,0.0000,0,0.0000,0
MS00049,Bacteroides,Bacteroides_ovatus/Bacteroides_xylanisolvens,14,0.0000,0,0.0000,1,1.0000,9
MS00050,Bacteroides,Bacteroides_intestinalis/Bacteroides_cellulosilyticus,13,0.0769,1,0.0000,0,0.0000,6
MS00051,Bacteroides,Bacteroides_eggerthii,9,0.0000,0,0.0000,0,0.0000,3
