site,block,elevation,habitat,ha
BERL01,BERL,2000,forest,
BERL02,BERL,2000,fragment,1.3
BERL05,BERL,2000,fragment,6.2
BERL09,BERL,2000,shrubs,
CORO01,CORO,1800,forest,
CORO02,CORO,1800,fragment,6.9
CORO04,CORO,1800,fragment,4.2
CORO05,CORO,1800,fragment,8.9
CORO06,CORO,1800,fence,
CORO06,CORO,1800,pasture,
CORO06,CORO,1800,tree,
CORO08,CORO,1800,shrubs,
HUIQ01,HUIQ,2800,forest,
HUIQ07,HUIQ,2800,fragment,219.2
HUIQ08,HUIQ,2800,fragment,135.7
HUIQ09,HUIQ,2800,fragment,2.6
HUIQ10,HUIQ,2800,shrubs,
HUIQ11,HUIQ,2800,fence,
HUIQ11,HUIQ,2800,pasture,
HUIQ11,HUIQ,2800,tree,
LEVA01,LEVA,3000,forest,
LEVA04,LEVA,3000,fragment,11.2
LEVA05,LEVA,3000,fragment,0.8
LEVA06,LEVA,3000,fragment,2.1
LEVA07,LEVA,3000,fragment,19.9
LEVA08,LEVA,3000,fragment,17.9
LEVA09,LEVA,3000,shrubs,
LEVA11,LEVA,3000,fence,
LEVA11,LEVA,3000,pasture,
LEVA11,LEVA,3000,tree,
PALM01,PALM,2200,forest,
PALM04,PALM,2200,fragment,1.6
PALM07,PALM,2200,fragment,1.4
PALM08,PALM,2200,fragment,1.9
PALM10,PALM,2200,fence,
PALM10,PALM,2200,pasture,
PALM10,PALM,2200,tree,
PALM12,PALM,2200,shrubs,
POMA01,POMA,2500,fragment,15.1
POMA02,POMA,2500,fragment,2.8
POMA03,POMA,2500,fragment,29.7
POMA04,POMA,2500,fragment,14.9
POMA05,POMA,2500,fragment,6.4
POMA06,POMA,2500,fragment,3.1
POMA07,POMA,2500,forest,
POMA08,POMA,2500,fragment,7.5
SANL02,SANL,2700,forest,
SANL03,SANL,2700,fragment,3.1
SANL04,SANL,2700,fragment,1.3
SANL05,SANL,2700,fragment,9.1
SANL06,SANL,2700,fragment,5.6
SANL07,SANL,2700,fragment,10.7
SANL08,SANL,2700,fragment,1.1
SANL09,SANL,2700,fence,
SANL09,SANL,2700,pasture,
SANL09,SANL,2700,tree,
