Year,Month,Day,Temperature
1950,1,28,11.7
1950,1,31,11.9
1950,1,26,12.1
1950,2,1,12.1
1950,1,30,12.2
1950,1,27,12.3
1950,2,2,12.3
1950,1,29,12.4
1950,2,3,12.4
1950,1,14,12.5
1950,2,22,12.5
1950,5,25,12.5
1950,1,13,12.6
1950,2,4,12.7
1950,1,15,12.8
1950,1,16,12.8
1950,1,25,12.8
1950,3,28,12.8
1950,1,17,12.9
1950,1,20,12.9
1950,2,8,12.9
1950,5,19,12.9
1950,12,24,12.9
1950,1,8,13
1950,1,12,13
1950,1,19,13
1950,1,21,13
1950,1,22,13
1950,2,5,13
1950,2,12,13
1950,2,26,13
1950,2,27,13
1950,5,27,13
1950,12,25,13
1950,1,3,13.1
1950,1,6,13.1
1950,1,7,13.1
1950,1,11,13.1
1950,1,18,13.1
1950,1,23,13.1
1950,2,9,13.1
1950,2,13,13.1
1950,2,20,13.1
1950,2,21,13.1
1950,2,23,13.1
1950,12,23,13.1
1950,1,4,13.2
1950,1,5,13.2
1950,1,9,13.2
1950,1,10,13.2
1950,2,6,13.2
1950,2,14,13.2
1950,2,25,13.2
1950,2,28,13.2
1950,2,7,13.3
1950,2,11,13.3
1950,2,15,13.3
1950,2,16,13.3
1950,2,18,13.3
1950,2,24,13.3
1950,2,10,13.4
1950,2,17,13.4
1950,2,19,13.4
1950,3,10,13.4
1950,3,14,13.4
1950,11,27,13.4
1950,11,29,13.4
1950,1,24,13.5
1950,3,1,13.5
1950,3,3,13.5
1950,3,5,13.5
1950,3,13,13.5
1950,11,28,13.5
1950,12,12,13.5
1950,1,2,13.6
1950,3,2,13.6
1950,3,12,13.6
1950,3,15,13.6
1950,3,30,13.6
1950,3,31,13.6
1950,1,1,13.7
1950,3,6,13.7
1950,3,7,13.7
1950,3,11,13.7
1950,3,29,13.7
1950,12,21,13.7
1950,3,4,13.8
1950,3,9,13.8
1950,3,16,13.8
1950,12,26,13.8
1950,3,8,13.9
1950,12,27,13.9
1950,3,18,14
1950,4,1,14
1950,12,22,14
1950,5,26,14.1
1950,5,28,14.1
1950,12,20,14.1
1950,3,17,14.2
1950,3,19,14.2
1950,4,9,14.2
1950,5,8,14.2
1950,12,1,14.2
1950,11,30,14.3
1950,3,21,14.4
1950,3,22,14.4
1950,3,27,14.4
1950,5,10,14.4
1950,5,12,14.4
1950,12,10,14.4
1950,12,11,14.4
1950,3,20,14.5
1950,3,23,14.5
1950,12,28,14.5
1950,4,2,14.6
1950,5,6,14.6
1950,4,22,14.7
1950,5,7,14.7
1950,6,9,14.7
1950,10,12,14.7
1950,12,29,14.7
1950,4,10,14.8
1950,5,11,14.8
1950,12,30,14.8
1950,3,24,14.9
1950,4,3,14.9
1950,6,12,14.9
1950,12,6,14.9
1950,12,13,14.9
1950,12,31,14.9
1950,4,5,15
1950,4,8,15
1950,6,28,15
1950,11,26,15
1950,12,19,15
1950,4,4,15.1
1950,4,6,15.1
1950,5,23,15.1
1950,12,2,15.1
1950,12,8,15.1
1950,12,9,15.1
1950,4,13,15.2
1950,4,14,15.2
1950,4,7,15.3
1950,4,12,15.3
1950,5,9,15.3
1950,5,20,15.3
1950,5,29,15.3
1950,11,25,15.3
1950,12,3,15.3
1950,4,11,15.4
1950,5,5,15.4
1950,5,21,15.4
1950,5,30,15.4
1950,10,22,15.4
1950,12,7,15.4
1950,4,17,15.5
1950,5,22,15.5
1950,5,24,15.5
1950,10,13,15.6
1950,10,23,15.6
1950,11,12,15.6
1950,11,24,15.6
1950,12,18,15.6
1950,4,15,15.7
1950,4,18,15.7
1950,5,15,15.7
1950,10,11,15.7
1950,11,23,15.7
1950,5,13,15.8
1950,5,14,15.8
1950,8,9,15.8
1950,10,29,15.8
1950,5,31,15.9
1950,6,8,15.9
1950,8,13,15.9
1950,10,16,15.9
1950,11,1,15.9
1950,12,4,15.9
1950,12,5,15.9
1950,12,14,15.9
1950,4,16,16
1950,4,29,16
1950,5,4,16
1950,8,10,16
1950,12,15,16
1950,4,19,16.1
1950,4,20,16.1
1950,4,21,16.1
1950,4,27,16.1
1950,4,30,16.1
1950,5,17,16.1
1950,5,18,16.1
1950,8,12,16.1
1950,10,2,16.1
1950,12,17,16.1
1950,4,23,16.2
1950,4,28,16.2
1950,6,1,16.2
1950,8,20,16.2
1950,11,3,16.2
1950,11,15,16.2
1950,11,16,16.2
1950,11,20,16.2
1950,10,30,16.3
1950,11,17,16.3
1950,11,18,16.3
1950,5,3,16.4
1950,5,16,16.4
1950,6,2,16.4
1950,6,6,16.4
1950,6,7,16.4
1950,8,8,16.4
1950,5,1,16.5
1950,6,3,16.5
1950,6,5,16.5
1950,9,28,16.5
1950,10,19,16.5
1950,12,16,16.5
1950,4,24,16.6
1950,4,25,16.6
1950,10,24,16.6
1950,10,31,16.6
1950,11,4,16.6
1950,11,13,16.6
1950,5,2,16.7
1950,10,14,16.7
1950,10,18,16.7
1950,11,21,16.7
1950,4,26,16.8
1950,11,11,16.8
1950,6,4,16.9
1950,6,22,16.9
1950,8,11,16.9
1950,10,25,16.9
1950,10,27,17
1950,11,2,17
1950,11,14,17
1950,11,19,17
1950,11,22,17
1950,10,17,17.1
1950,10,26,17.1
1950,7,13,17.2
1950,9,29,17.2
1950,11,9,17.2
1950,6,10,17.3
1950,6,19,17.3
1950,9,24,17.3
1950,6,21,17.4
1950,6,23,17.4
1950,8,14,17.5
1950,8,22,17.5
1950,11,10,17.5
1950,6,13,17.6
1950,6,20,17.6
1950,6,24,17.6
1950,8,7,17.6
1950,8,15,17.6
1950,10,21,17.6
1950,10,28,17.6
1950,6,18,17.7
1950,6,25,17.7
1950,6,26,17.7
1950,8,21,17.7
1950,10,1,17.7
1950,6,17,17.8
1950,8,23,17.8
1950,10,15,17.8
1950,10,20,17.8
1950,11,8,17.8
1950,7,12,17.9
1950,11,5,17.9
1950,6,27,18
1950,7,10,18
1950,8,19,18
1950,10,10,18
1950,6,14,18.1
1950,6,29,18.1
1950,9,30,18.1
1950,11,6,18.1
1950,7,7,18.2
1950,7,11,18.2
1950,8,17,18.2
1950,8,30,18.2
1950,9,12,18.2
1950,9,13,18.2
1950,6,11,18.3
1950,6,15,18.3
1950,9,25,18.3
1950,10,9,18.3
1950,11,7,18.3
1950,6,16,18.4
1950,7,23,18.4
1950,7,29,18.4
1950,8,29,18.4
1950,7,8,18.5
1950,7,21,18.5
1950,8,2,18.5
1950,9,9,18.5
1950,9,23,18.5
1950,10,4,18.5
1950,10,5,18.5
1950,7,1,18.6
1950,8,18,18.6
1950,8,31,18.6
1950,9,3,18.6
1950,9,27,18.6
1950,10,8,18.6
1950,7,15,18.7
1950,8,24,18.7
1950,9,1,18.7
1950,10,3,18.7
1950,6,30,18.8
1950,7,14,18.8
1950,8,1,18.8
1950,10,6,18.8
1950,7,6,18.9
1950,9,11,18.9
1950,9,17,18.9
1950,9,21,18.9
1950,9,22,18.9
1950,9,4,19
1950,10,7,19
1950,7,4,19.1
1950,7,28,19.1
1950,8,5,19.1
1950,8,6,19.1
1950,8,16,19.1
1950,9,16,19.1
1950,8,25,19.2
1950,8,26,19.2
1950,9,18,19.2
1950,7,2,19.3
1950,7,3,19.3
1950,9,15,19.3
1950,7,5,19.4
1950,8,28,19.4
1950,9,2,19.4
1950,9,6,19.4
1950,9,14,19.4
1950,7,9,19.5
1950,8,27,19.5
1950,9,5,19.5
1950,9,7,19.5
1950,9,19,19.5
1950,9,8,19.6
1950,9,10,19.6
1950,9,20,19.6
1950,7,17,19.8
1950,7,19,19.8
1950,8,4,19.8
1950,9,26,19.8
1950,7,16,19.9
1950,7,18,20.1
1950,7,25,20.1
1950,8,3,20.2
1950,7,26,20.6
1950,7,24,20.7
1950,7,20,20.8
1950,7,22,20.9
1950,7,31,21.3
1950,7,30,21.5
1950,7,27,22
1949,1,11,11.6
1949,2,14,11.6
1949,1,12,11.8
1949,1,14,11.9
1949,1,18,12
1949,2,13,12
1949,1,4,12.1
1949,1,6,12.1
1949,1,7,12.1
1949,1,10,12.1
1949,1,5,12.2
1949,1,19,12.2
1949,3,27,12.2
1949,4,12,12.2
1949,1,8,12.3
1949,1,17,12.3
1949,2,4,12.3
1949,1,13,12.4
1949,2,8,12.4
1949,2,9,12.4
1949,2,11,12.4
1949,2,12,12.4
1949,2,17,12.4
1949,2,1,12.5
1949,2,10,12.5
1949,3,10,12.5
1949,1,3,12.6
1949,1,9,12.6
1949,1,16,12.6
1949,1,26,12.6
1949,1,29,12.6
1949,3,12,12.6
1949,1,20,12.7
1949,1,23,12.7
1949,1,25,12.7
1949,1,27,12.7
1949,1,31,12.7
1949,2,3,12.7
1949,2,5,12.7
1949,2,6,12.7
1949,1,15,12.8
1949,1,21,12.8
1949,1,22,12.8
1949,1,24,12.8
1949,1,28,12.8
1949,1,30,12.8
1949,2,2,12.9
1949,2,18,12.9
1949,4,13,12.9
1949,2,7,13
1949,3,25,13
1949,4,10,13
1949,4,20,13
1949,2,20,13.1
1949,2,28,13.1
1949,3,1,13.1
1949,3,19,13.1
1949,3,30,13.1
1949,1,1,13.2
1949,2,21,13.2
1949,3,21,13.2
1949,3,23,13.2
1949,3,29,13.2
1949,2,19,13.3
1949,2,22,13.3
1949,2,24,13.3
1949,3,3,13.3
1949,3,9,13.3
1949,3,26,13.3
1949,4,14,13.3
1949,4,16,13.3
1949,12,23,13.3
1949,2,23,13.4
1949,2,25,13.4
1949,2,27,13.4
1949,3,13,13.4
1949,3,31,13.4
1949,4,8,13.4
1949,12,13,13.4
1949,2,26,13.5
1949,3,2,13.5
1949,3,22,13.5
1949,3,24,13.5
1949,4,1,13.5
1949,4,3,13.5
1949,4,7,13.5
1949,4,11,13.5
1949,12,15,13.5
1949,12,24,13.5
1949,12,31,13.5
1949,3,7,13.6
1949,3,16,13.6
1949,3,17,13.6
1949,3,18,13.6
1949,4,9,13.6
1949,4,15,13.6
1949,12,14,13.6
1949,12,20,13.6
1949,12,26,13.6
1949,12,30,13.6
1949,3,4,13.7
1949,3,11,13.7
1949,12,22,13.7
1949,12,27,13.7
1949,12,28,13.7
1949,3,5,13.8
1949,3,6,13.8
1949,3,8,13.8
1949,3,14,13.8
1949,3,20,13.8
1949,4,2,13.8
1949,4,21,13.8
1949,5,11,13.8
1949,12,12,13.8
1949,12,21,13.8
1949,12,25,13.8
1949,3,15,13.9
1949,4,4,13.9
1949,4,6,13.9
1949,12,29,13.9
1949,3,28,14
1949,4,22,14
1949,12,16,14.1
1949,12,18,14.1
1949,4,19,14.2
1949,12,17,14.2
1949,4,18,14.3
1949,4,28,14.3
1949,4,5,14.5
1949,12,19,14.5
1949,4,17,14.6
1949,12,11,14.6
1949,4,24,14.9
1949,11,2,15
1949,11,1,15.1
1949,12,8,15.1
1949,12,9,15.1
1949,4,23,15.2
1949,11,17,15.2
1949,4,26,15.3
1949,12,3,15.3
1949,12,7,15.3
1949,11,12,15.4
1949,12,4,15.4
1949,12,6,15.4
1949,4,27,15.5
1949,9,7,15.5
1949,11,10,15.5
1949,11,14,15.5
1949,11,16,15.5
1949,12,5,15.5
1949,11,9,15.6
1949,11,15,15.6
1949,11,19,15.6
1949,12,2,15.6
1949,4,25,15.7
1949,9,6,15.7
1949,11,5,15.7
1949,11,6,15.7
1949,11,21,15.7
1949,11,22,15.7
1949,11,24,15.7
1949,9,23,15.8
1949,10,31,15.8
1949,11,4,15.8
1949,11,13,15.8
1949,11,23,15.8
1949,11,26,15.8
1949,11,27,15.8
1949,5,12,15.9
1949,5,13,15.9
1949,5,19,15.9
1949,7,15,15.9
1949,11,11,15.9
1949,11,25,15.9
1949,11,28,15.9
1949,5,18,16
1949,11,30,16
1949,7,14,16.1
1949,11,18,16.1
1949,12,1,16.1
1949,4,30,16.2
1949,5,20,16.2
1949,11,8,16.2
1949,11,20,16.2
1949,11,29,16.2
1949,4,29,16.3
1949,5,17,16.3
1949,10,29,16.3
1949,5,4,16.4
1949,5,1,16.5
1949,7,17,16.5
1949,5,21,16.6
1949,5,23,16.6
1949,7,24,16.6
1949,10,26,16.6
1949,10,27,16.6
1949,11,3,16.6
1949,5,2,16.7
1949,5,3,16.7
1949,5,22,16.7
1949,10,30,16.7
1949,5,5,16.8
1949,6,21,16.8
1949,7,3,16.8
1949,9,22,16.8
1949,7,27,16.9
1949,6,13,17
1949,7,25,17
1949,5,16,17.1
1949,6,12,17.1
1949,8,13,17.1
1949,9,14,17.1
1949,11,7,17.1
1949,5,6,17.2
1949,5,15,17.2
1949,7,2,17.2
1949,7,28,17.2
1949,9,12,17.2
1949,9,13,17.3
1949,5,31,17.4
1949,6,1,17.4
1949,6,10,17.4
1949,5,10,17.5
1949,5,14,17.5
1949,6,22,17.5
1949,5,24,17.6
1949,5,29,17.6
1949,6,9,17.6
1949,7,18,17.6
1949,8,12,17.6
1949,6,16,17.7
1949,7,21,17.7
1949,9,15,17.7
1949,5,9,17.8
1949,5,7,17.9
1949,10,28,17.9
1949,5,8,18
1949,6,2,18.1
1949,6,20,18.1
1949,7,19,18.1
1949,5,26,18.2
1949,7,1,18.2
1949,7,13,18.2
1949,5,25,18.3
1949,5,27,18.3
1949,5,28,18.3
1949,6,11,18.3
1949,8,6,18.5
1949,9,8,18.6
1949,5,30,18.7
1949,6,3,18.7
1949,6,15,18.7
1949,7,6,18.7
1949,7,26,18.7
1949,7,5,18.8
1949,6,24,18.9
1949,6,27,18.9
1949,6,14,19
1949,6,25,19
1949,6,26,19
1949,6,28,19
1949,7,9,19
1949,7,16,19
1949,7,31,19
1949,9,18,19
1949,7,10,19.1
1949,7,20,19.1
1949,8,10,19.1
1949,8,24,19.1
1949,8,30,19.1
1949,6,4,19.2
1949,9,24,19.2
1949,6,23,19.4
1949,7,4,19.4
1949,6,17,19.5
1949,8,16,19.5
1949,9,10,19.5
1949,7,22,19.6
1949,6,29,19.7
1949,7,12,19.7
1949,8,27,19.7
1949,6,6,19.8
1949,6,18,19.8
1949,7,7,19.8
1949,7,29,19.8
1949,8,25,19.8
1949,8,26,19.8
1949,9,21,19.8
1949,6,5,19.9
1949,6,7,19.9
1949,8,1,19.9
1949,8,14,19.9
1949,8,17,19.9
1949,8,31,19.9
1949,9,17,19.9
1949,8,11,20
1949,8,15,20
1949,9,16,20
1949,6,19,20.1
1949,6,30,20.1
1949,9,1,20.1
1949,7,30,20.2
1949,8,7,20.2
1949,9,3,20.2
1949,9,20,20.2
1949,6,8,20.4
1949,7,8,20.4
1949,7,11,20.4
1949,8,8,20.4
1949,8,18,20.4
1949,8,19,20.4
1949,8,2,20.5
1949,9,5,20.5
1949,8,20,20.6
1949,8,23,20.6
1949,9,2,20.7
1949,9,4,20.7
1949,7,23,20.8
1949,8,5,20.8
1949,9,19,20.9
1949,8,29,21
1949,8,9,21.1
1949,8,21,21.1
1949,9,11,21.1
1949,8,28,21.2
1949,9,9,21.5
1949,8,22,21.6
1949,8,4,21.7
1949,8,3,21.9
1948,6,3,11.7
1948,4,16,11.9
1948,4,1,12.2
1948,2,13,12.5
1948,2,24,12.5
1948,4,13,12.5
1948,3,5,12.6
1948,2,12,12.7
1948,2,14,12.7
1948,2,25,12.7
1948,2,28,12.7
1948,3,1,12.7
1948,2,11,12.8
1948,2,16,12.8
1948,2,15,12.9
1948,3,2,12.9
1948,3,7,12.9
1948,2,17,13
1948,2,27,13
1948,3,4,13
1948,3,25,13
1948,3,26,13
1948,12,24,13
1948,1,1,13.1
1948,2,3,13.1
1948,2,29,13.1
1948,3,6,13.1
1948,3,21,13.1
1948,3,30,13.1
1948,12,26,13.1
1948,1,2,13.2
1948,2,4,13.2
1948,2,8,13.2
1948,2,18,13.2
1948,3,8,13.2
1948,12,23,13.2
1948,12,25,13.2
1948,1,8,13.3
1948,1,9,13.3
1948,1,29,13.3
1948,2,6,13.3
1948,2,26,13.3
1948,3,11,13.3
1948,3,29,13.3
1948,12,27,13.3
1948,12,29,13.3
1948,1,6,13.4
1948,1,7,13.4
1948,1,28,13.4
1948,2,1,13.4
1948,2,19,13.4
1948,3,3,13.4
1948,3,12,13.4
1948,3,27,13.4
1948,3,28,13.4
1948,6,5,13.4
1948,12,21,13.4
1948,12,31,13.4
1948,1,4,13.5
1948,1,5,13.5
1948,1,13,13.5
1948,1,20,13.5
1948,1,21,13.5
1948,1,31,13.5
1948,2,5,13.5
1948,2,7,13.5
1948,2,9,13.5
1948,3,31,13.5
1948,6,9,13.5
1948,7,9,13.5
1948,12,28,13.5
1948,12,30,13.5
1948,1,3,13.6
1948,1,10,13.6
1948,1,11,13.6
1948,1,14,13.6
1948,1,16,13.6
1948,1,30,13.6
1948,2,2,13.6
1948,2,10,13.6
1948,3,10,13.6
1948,3,18,13.6
1948,5,2,13.6
1948,1,15,13.7
1948,1,19,13.7
1948,1,27,13.7
1948,2,20,13.7
1948,2,21,13.7
1948,2,22,13.7
1948,3,14,13.7
1948,3,16,13.7
1948,3,22,13.7
1948,5,3,13.7
1948,12,6,13.7
1948,12,20,13.7
1948,12,22,13.7
1948,1,12,13.8
1948,3,9,13.8
1948,3,15,13.8
1948,3,17,13.8
1948,3,20,13.8
1948,3,23,13.8
1948,7,10,13.8
1948,3,13,13.9
1948,3,24,13.9
1948,4,3,13.9
1948,4,4,13.9
1948,4,5,13.9
1948,12,19,13.9
1948,1,17,14
1948,1,22,14
1948,1,23,14
1948,4,14,14
1948,4,17,14
1948,4,20,14
1948,12,1,14
1948,12,3,14
1948,12,5,14
1948,12,16,14
1948,12,17,14
1948,1,24,14.1
1948,3,19,14.1
1948,4,2,14.1
1948,4,10,14.1
1948,12,18,14.1
1948,1,18,14.2
1948,1,25,14.2
1948,1,26,14.2
1948,5,4,14.2
1948,5,21,14.2
1948,6,8,14.2
1948,6,11,14.2
1948,12,2,14.2
1948,4,7,14.3
1948,4,19,14.3
1948,5,5,14.3
1948,12,8,14.3
1948,12,15,14.3
1948,4,15,14.4
1948,12,7,14.4
1948,12,12,14.4
1948,4,12,14.5
1948,12,9,14.5
1948,4,6,14.6
1948,10,1,14.6
1948,12,10,14.6
1948,12,11,14.6
1948,12,14,14.6
1948,4,21,14.7
1948,6,10,14.7
1948,10,2,14.7
1948,12,13,14.7
1948,4,9,14.8
1948,6,6,14.8
1948,10,4,14.8
1948,11,23,14.8
1948,11,25,14.8
1948,4,8,14.9
1948,4,24,14.9
1948,4,30,14.9
1948,7,8,14.9
1948,11,22,14.9
1948,7,6,15
1948,7,7,15
1948,11,27,15
1948,11,30,15
1948,6,1,15.1
1948,9,30,15.1
1948,10,3,15.1
1948,11,17,15.1
1948,11,20,15.1
1948,11,24,15.1
1948,11,28,15.1
1948,4,18,15.2
1948,4,25,15.2
1948,11,21,15.2
1948,11,26,15.2
1948,6,4,15.3
1948,7,26,15.3
1948,8,6,15.3
1948,11,18,15.3
1948,11,29,15.3
1948,4,22,15.4
1948,4,29,15.4
1948,5,1,15.4
1948,11,19,15.4
1948,7,13,15.5
1948,7,18,15.6
1948,4,23,15.7
1948,7,11,15.7
1948,8,7,15.7
1948,8,8,15.7
1948,9,26,15.7
1948,11,16,15.7
1948,4,26,15.8
1948,4,27,15.8
1948,4,28,15.8
1948,11,10,15.8
1948,5,8,15.9
1948,7,21,15.9
1948,9,25,15.9
1948,11,9,15.9
1948,11,11,15.9
1948,4,11,16
1948,5,9,16
1948,6,7,16
1948,7,12,16
1948,10,31,16
1948,11,6,16
1948,11,7,16
1948,11,12,16
1948,9,20,16.1
1948,10,5,16.1
1948,11,13,16.1
1948,11,15,16.1
1948,5,22,16.2
1948,10,23,16.2
1948,11,5,16.2
1948,11,14,16.2
1948,5,11,16.3
1948,9,24,16.3
1948,11,1,16.3
1948,8,18,16.4
1948,8,19,16.4
1948,8,24,16.4
1948,10,7,16.4
1948,10,26,16.4
1948,10,30,16.4
1948,11,2,16.4
1948,11,4,16.4
1948,11,8,16.4
1948,9,23,16.5
1948,9,27,16.5
1948,10,8,16.5
1948,10,24,16.5
1948,10,28,16.5
1948,5,6,16.6
1948,5,10,16.6
1948,5,24,16.6
1948,6,2,16.6
1948,8,15,16.6
1948,10,19,16.6
1948,10,27,16.6
1948,11,3,16.6
1948,6,19,16.7
1948,7,25,16.7
1948,10,6,16.7
1948,10,18,16.7
1948,10,29,16.7
1948,5,25,16.8
1948,10,25,16.8
1948,5,7,16.9
1948,5,23,16.9
1948,5,15,17
1948,10,12,17
1948,10,14,17
1948,10,17,17
1948,10,22,17
1948,5,26,17.1
1948,7,29,17.1
1948,8,9,17.1
1948,9,28,17.1
1948,10,16,17.1
1948,10,20,17.1
1948,5,27,17.2
1948,5,30,17.2
1948,6,20,17.2
1948,7,17,17.2
1948,9,29,17.2
1948,10,21,17.2
1948,5,20,17.3
1948,7,27,17.3
1948,8,20,17.3
1948,10,13,17.3
1948,5,14,17.4
1948,5,29,17.4
1948,7,22,17.4
1948,9,12,17.4
1948,9,21,17.4
1948,5,12,17.5
1948,5,13,17.5
1948,5,19,17.5
1948,5,28,17.5
1948,10,11,17.5
1948,8,2,17.6
1948,9,11,17.6
1948,9,19,17.6
1948,10,9,17.6
1948,10,15,17.6
1948,6,25,17.7
1948,6,27,17.7
1948,6,22,17.8
1948,8,14,17.8
1948,9,16,17.8
1948,6,29,17.9
1948,7,3,17.9
1948,7,19,17.9
1948,9,6,17.9
1948,9,22,17.9
1948,10,10,17.9
1948,6,26,18
1948,6,30,18
1948,7,4,18
1948,8,4,18
1948,9,10,18
1948,5,31,18.1
1948,6,21,18.1
1948,6,23,18.1
1948,6,28,18.1
1948,7,20,18.1
1948,8,17,18.1
1948,9,8,18.2
1948,9,13,18.2
1948,5,16,18.3
1948,6,24,18.3
1948,7,1,18.3
1948,7,15,18.3
1948,5,18,18.4
1948,7,14,18.5
1948,7,28,18.5
1948,9,9,18.5
1948,9,15,18.6
1948,7,2,18.7
1948,7,16,18.7
1948,7,30,18.9
1948,8,1,18.9
1948,5,17,19
1948,8,3,19
1948,8,30,19
1948,8,28,19.1
1948,7,5,19.2
1948,8,21,19.2
1948,7,23,19.3
1948,7,31,19.5
1948,8,10,19.5
1948,9,7,19.5
1948,8,5,19.6
1948,8,25,19.6
1948,7,24,19.7
1948,8,13,19.8
1948,9,14,19.9
1948,9,18,19.9
1948,8,16,20
1948,8,29,20
1948,8,22,20.1
1948,9,5,20.1
1948,8,12,20.2
1948,8,27,20.2
1948,8,31,20.2
1948,8,23,20.3
