genus,natural_newborn_avg,csect_newborn_avg,natural_newborn_cnt,csect_newborn_cnt,natural_4m_avg,csect_4m_avg,natural_4m_cnt,csect_4m_cnt,natural_12m_avg,csect_12m_avg,natural_12m_cnt,csect_12m_cnt,natural_mom_avg,csect_mom_avg,natural_mom_cnt,csect_mom_cnt
Acidaminococcus,0.0000039737,0.0000000000,3,0,0.0007896752,0.0000000000,7,0,0.0030541505,0.0016032897,9,4,0.0027210073,0.0033293381,27,3
Acidovorax,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000127618,0.0000000000,1,0
Actinobacillus,0.0000061143,0.0000051201,2,1,0.0000000000,0.0000000000,0,0,0.0000011081,0.0000071286,2,1,0.0000000000,0.0000000000,0,0
Actinomyces,0.0013864138,0.0000211896,6,4,0.0024451798,0.0047356168,64,14,0.0000862560,0.0001515112,47,10,0.0000667724,0.0001088564,65,10
Aeromonas,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000127867,0.0000000000,2,0,0.0000000000,0.0002625797,0,1
Aggregatibacter,0.0000145829,0.0002570049,3,5,0.0000064034,0.0000000000,5,0,0.0000511419,0.0000212988,19,3,0.0000008364,0.0000000000,2,0
Akkermansia,0.0000003227,0.0000005761,1,1,0.0009983355,0.0000032201,4,1,0.0057150750,0.0211427140,29,6,0.0064720340,0.0074407784,42,5
Alicycliphilus,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000138929,0.0000000000,1,0
Alistipes,0.0000004585,0.0000000000,1,0,0.0016942146,0.0000000000,10,0,0.0144960308,0.0190196292,28,8,0.0661881251,0.0532627354,81,13
Anaerococcus,0.0000291920,0.0000000000,7,0,0.0004093667,0.0000536251,28,8,0.0000382545,0.0001656670,26,9,0.0000481768,0.0000928563,21,4
Anaerostipes,0.0000000000,0.0000000000,0,0,0.0003909765,0.0148713426,4,4,0.0033069892,0.0199695562,53,13,0.0000202993,0.0000015816,15,1
Anaerotruncus,0.0000000000,0.0000000000,0,0,0.0000303072,0.0001128794,13,4,0.0011785274,0.0010269878,75,15,0.0007851479,0.0009108696,83,15
Arcobacter,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000022147,0.0000000000,1,0
Avibacterium,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Azotobacter,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000044160,0.0000000000,1,0
Bacteroides,0.2966899684,0.0000299175,71,2,0.2374692997,0.0758367184,74,10,0.4492636680,0.2644454473,83,15,0.2966836916,0.3141381432,83,15
Bifidobacterium,0.2020264349,0.1861100949,62,7,0.4221601332,0.3603921274,80,14,0.0402747435,0.0298516679,78,14,0.0551688254,0.0303232254,83,15
Bilophila,0.0019088948,0.0000000000,15,0,0.0025593963,0.0000000000,23,0,0.0010134254,0.0002116937,28,4,0.0063705125,0.0070446807,77,12
Blautia,0.0000022274,0.0000000000,3,0,0.0000135502,0.0012929447,9,2,0.0006456996,0.0081383635,68,14,0.0012085668,0.0011312178,83,15
Brachyspira,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0
Brevundimonas,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000070320,0,1,0.0000000000,0.0000000000,0,0,0.0000574652,0.0000000000,1,0
Bryantella,0.0000012368,0.0000000000,1,0,0.0000372912,0.0000482294,3,1,0.0000555213,0.0000908220,17,5,0.0001277884,0.0002276211,61,9
Butyrivibrio,0.0000054108,0.0000013107,4,1,0.0000029016,0.0000110331,4,2,0.0004439081,0.0023677997,39,11,0.0028980108,0.0200628153,78,11
Campylobacter,0.0000000000,0.0000000000,0,0,0.0009933042,0.0007179029,5,2,0.0000069960,0.0001281138,9,2,0.0001010040,0.0000105728,23,2
"Capnocytophaga,Paraprevotella",0.0000076588,0.0000000000,2,0,0.0026283470,0.0007771405,3,1,0.0029148348,0.0053682305,7,4,0.0030856307,0.0034000545,30,5
Catenibacterium,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0007545033,0.0000000000,4,0,0.0005168371,0.0005442286,6,1
Chryseobacterium,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000194830,0.0000000000,1,0
Citrobacter,0.0050668443,0.0010673374,13,4,0.0028035968,0.0080953068,22,7,0.0002483514,0.0015433837,16,8,0.0000821384,0.0013027259,19,7
Clostridiales,0.0000000000,0.0000000000,0,0,0.0002269933,0.0005425381,10,3,0.0015579049,0.0042497907,59,12,0.0002227991,0.0001679196,58,9
Clostridium,0.0227494844,0.0272755278,48,8,0.0126262314,0.1289406459,70,15,0.0630157968,0.1056893696,83,15,0.0510728032,0.0492890279,83,15
"Clostridium,Coprobacillus",0.0084198507,0.0619461092,8,2,0.0084084691,0.0267246455,34,8,0.0048063376,0.0068395831,77,13,0.0000973889,0.0015580588,22,5
Collinsella,0.0159586129,0.0000013031,38,1,0.0439528004,0.0148099869,53,6,0.0154680542,0.0085083810,53,9,0.0219785246,0.0141351271,76,14
Comamonas,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000037487,0.0000000000,1,0
Coprobacillus,0.0000070032,0.0000000000,1,0,0.0000959761,0.0000122907,5,1,0.0006893876,0.0015644440,51,9,0.0014314697,0.0002739012,79,11
Coprococcus,0.0000030103,0.0000000000,3,0,0.0000318644,0.0000303572,6,2,0.0006463100,0.0059912798,55,11,0.0109050838,0.0066103746,83,14
