year,state,species,pounds,dollars
2017,Connecticut,"COD, ATLANTIC",937,2299
2017,Maine,"COD, ATLANTIC",80572,218948
2017,Massachusetts,"COD, ATLANTIC",1583103,3774367
2017,New Hampshire,"COD, ATLANTIC",70960,148949
2017,Rhode Island,"COD, ATLANTIC",113229,278573
2016,Connecticut,"COD, ATLANTIC",25660,48890
2016,Maine,"COD, ATLANTIC",166081,341501
2016,Massachusetts,"COD, ATLANTIC",2723903,5164264
2016,New Hampshire,"COD, ATLANTIC",55161,108694
2016,New Jersey,"COD, ATLANTIC",1030,2638
2016,Rhode Island,"COD, ATLANTIC",209647,393896
2015,Connecticut,"COD, ATLANTIC",1968,3819
2015,Maine,"COD, ATLANTIC",254594,496878
2015,Massachusetts,"COD, ATLANTIC",2913481,5528195
2015,New Hampshire,"COD, ATLANTIC",44701,93296
2015,New Jersey,"COD, ATLANTIC",71,133
2015,Rhode Island,"COD, ATLANTIC",138926,281061
2014,Connecticut,"COD, ATLANTIC",523,1131
2014,Maine,"COD, ATLANTIC",404122,884371
2014,Massachusetts,"COD, ATLANTIC",4294491,7493636
2014,New Hampshire,"COD, ATLANTIC",263360,571297
2014,New Jersey,"COD, ATLANTIC",138,331
2014,Rhode Island,"COD, ATLANTIC",195072,382004
2013,Connecticut,"COD, ATLANTIC",39,109
2013,Maine,"COD, ATLANTIC",286298,737685
2013,Massachusetts,"COD, ATLANTIC",4145406,8376560
2013,New Hampshire,"COD, ATLANTIC",229870,546314
2013,New Jersey,"COD, ATLANTIC",1015,2136
2013,Rhode Island,"COD, ATLANTIC",290386,722988
2012,Connecticut,"COD, ATLANTIC",7256,14223
2012,Maine,"COD, ATLANTIC",492714,1234332
2012,Maryland,"COD, ATLANTIC",63,174
2012,Massachusetts,"COD, ATLANTIC",8980225,18550352
2012,New Hampshire,"COD, ATLANTIC",725454,1750161
2012,New Jersey,"COD, ATLANTIC",875,1803
2012,Rhode Island,"COD, ATLANTIC",271417,582177
2011,Connecticut,"COD, ATLANTIC",2,4
2011,Maine,"COD, ATLANTIC",814077,1617500
2011,Maryland,"COD, ATLANTIC",76,173
2011,Massachusetts,"COD, ATLANTIC",15012062,27582585
2011,New Hampshire,"COD, ATLANTIC",1286312,2499574
2011,New Jersey,"COD, ATLANTIC",1581,4356
2011,Rhode Island,"COD, ATLANTIC",408866,758667
2010,Connecticut,"COD, ATLANTIC",5673,9459
2010,Maine,"COD, ATLANTIC",748131,1388716
2010,Maryland,"COD, ATLANTIC",136,259
2010,Massachusetts,"COD, ATLANTIC",15371543,23998994
2010,New Hampshire,"COD, ATLANTIC",1226227,2186438
2010,New Jersey,"COD, ATLANTIC",305,762
2010,Rhode Island,"COD, ATLANTIC",279089,410127
1988,Connecticut,"COD, ATLANTIC",255500,168630
1988,Maine,"COD, ATLANTIC",93400,50929
1988,Maine,"COD, ATLANTIC",2423900,1229294
1988,Maine,"COD, ATLANTIC",3545700,1809981
1988,Maine,"COD, ATLANTIC",1755400,826064
1988,Maine,"COD, ATLANTIC",285700,117288
1988,Massachusetts,"COD, ATLANTIC",17620600,9251123
1988,Massachusetts,"COD, ATLANTIC",28324700,16805736
1988,Massachusetts,"COD, ATLANTIC",13618300,8118803
1988,Massachusetts,"COD, ATLANTIC",263900,149429
1988,Massachusetts,"COD, ATLANTIC",1411400,707136
1988,New Hampshire,"COD, ATLANTIC",821400,487748
1988,New Hampshire,"COD, ATLANTIC",1461500,833694
1988,New Hampshire,"COD, ATLANTIC",418000,213678
1988,New Hampshire,"COD, ATLANTIC",239400,82786
1988,New Hampshire,"COD, ATLANTIC",19800,12939
1988,New Jersey,"COD, ATLANTIC",200,64
1988,New Jersey,"COD, ATLANTIC",13100,8080
1988,New Jersey,"COD, ATLANTIC",700,295
1988,New Jersey,"COD, ATLANTIC",900,373
1988,Rhode Island,"COD, ATLANTIC",2800,899
1988,Rhode Island,"COD, ATLANTIC",852600,437684
1988,Rhode Island,"COD, ATLANTIC",1563700,850440
1988,Rhode Island,"COD, ATLANTIC",537900,260284
1988,Rhode Island,"COD, ATLANTIC",52300,28506
