year,state,species,pounds,dollars,tons
2017,Connecticut,"COD, ATLANTIC",937,2299,0.4685
2017,Maine,"COD, ATLANTIC",80572,218948,40.286
2017,Massachusetts,"COD, ATLANTIC",1583103,3774367,791.5515
2017,New Hampshire,"COD, ATLANTIC",70960,148949,35.48
2017,Rhode Island,"COD, ATLANTIC",113229,278573,56.6145
2016,Connecticut,"COD, ATLANTIC",25660,48890,12.83
2016,Maine,"COD, ATLANTIC",166081,341501,83.0405
2016,Massachusetts,"COD, ATLANTIC",2723903,5164264,1361.9515
2016,New Hampshire,"COD, ATLANTIC",55161,108694,27.5805
2016,New Jersey,"COD, ATLANTIC",1030,2638,0.515
2016,Rhode Island,"COD, ATLANTIC",209647,393896,104.8235
2015,Connecticut,"COD, ATLANTIC",1968,3819,0.984
2015,Maine,"COD, ATLANTIC",254594,496878,127.297
2015,Massachusetts,"COD, ATLANTIC",2913481,5528195,1456.7405
2015,New Hampshire,"COD, ATLANTIC",44701,93296,22.3505
2015,New Jersey,"COD, ATLANTIC",71,133,0.0355
2015,Rhode Island,"COD, ATLANTIC",138926,281061,69.463
2014,Connecticut,"COD, ATLANTIC",523,1131,0.2615
2014,Maine,"COD, ATLANTIC",404122,884371,202.061
2014,Massachusetts,"COD, ATLANTIC",4294491,7493636,2147.2455
2014,New Hampshire,"COD, ATLANTIC",263360,571297,131.68
2014,New Jersey,"COD, ATLANTIC",138,331,0.069
2014,Rhode Island,"COD, ATLANTIC",195072,382004,97.536
2013,Connecticut,"COD, ATLANTIC",39,109,0.0195
2013,Maine,"COD, ATLANTIC",286298,737685,143.149
2013,Massachusetts,"COD, ATLANTIC",4145406,8376560,2072.703
2013,New Hampshire,"COD, ATLANTIC",229870,546314,114.935
2013,New Jersey,"COD, ATLANTIC",1015,2136,0.5075
2013,Rhode Island,"COD, ATLANTIC",290386,722988,145.193
2012,Connecticut,"COD, ATLANTIC",7256,14223,3.628
2012,Maine,"COD, ATLANTIC",492714,1234332,246.357
2012,Maryland,"COD, ATLANTIC",63,174,0.0315
2012,Massachusetts,"COD, ATLANTIC",8980225,18550352,4490.1125
2012,New Hampshire,"COD, ATLANTIC",725454,1750161,362.727
2012,New Jersey,"COD, ATLANTIC",875,1803,0.4375
2012,Rhode Island,"COD, ATLANTIC",271417,582177,135.7085
2011,Connecticut,"COD, ATLANTIC",2,4,0.001
2011,Maine,"COD, ATLANTIC",814077,1617500,407.0385
2011,Maryland,"COD, ATLANTIC",76,173,0.038
2011,Massachusetts,"COD, ATLANTIC",15012062,27582585,7506.031
2011,New Hampshire,"COD, ATLANTIC",1286312,2499574,643.156
2011,New Jersey,"COD, ATLANTIC",1581,4356,0.7905
2011,Rhode Island,"COD, ATLANTIC",408866,758667,204.433
2010,Connecticut,"COD, ATLANTIC",5673,9459,2.8365
2010,Maine,"COD, ATLANTIC",748131,1388716,374.0655
2010,Maryland,"COD, ATLANTIC",136,259,0.068
2010,Massachusetts,"COD, ATLANTIC",15371543,23998994,7685.7715
2010,New Hampshire,"COD, ATLANTIC",1226227,2186438,613.1135
2010,New Jersey,"COD, ATLANTIC",305,762,0.1525
2010,Rhode Island,"COD, ATLANTIC",279089,410127,139.5445
2009,Connecticut,"COD, ATLANTIC",6641,11640,3.3205
2009,Maine,"COD, ATLANTIC",1238893,1535599,619.4465
2009,Massachusetts,"COD, ATLANTIC",16018385,20422109,8009.1925
2009,New Hampshire,"COD, ATLANTIC",1984444,2587068,992.222
2009,Rhode Island,"COD, ATLANTIC",395806,532758,197.903
2008,Connecticut,"COD, ATLANTIC",1645,2502,0.8225
2008,Maine,"COD, ATLANTIC",1324470,3775055,662.235
2008,Maryland,"COD, ATLANTIC",7,13,0.0035
2008,Massachusetts,"COD, ATLANTIC",16034999,24169469,8017.4995
2008,New Hampshire,"COD, ATLANTIC",1479037,2311481,739.5185
2008,New Jersey,"COD, ATLANTIC",966,1196,0.483
2008,Rhode Island,"COD, ATLANTIC",275415,428734,137.7075
