,Year,State,democrat,republican,ShiftD,ShiftR,D+/-,R+/-,D,R
849,2016,Alabama,1478256,2653359,-1175103,1175103,-1175103,1175103,-1175103,1175103
850,2016,Alaska,152654,301536,-148882,148882,-148882,148882,-148882,148882
851,2016,Arizona,2192412,2612162,-419750,419750,-419750,419750,-419750,419750
852,2016,Arkansas,781096,1346856,-565760,565760,-565760,565760,-565760,565760
853,2016,California,20997958,4483810,16514148,-16514148,16514148,-16514148,16514148,-16514148
854,2016,Colorado,2709580,2417802,291778,-291778,291778,-291778,291778,-291778
855,2016,Connecticut,1818338,1225836,592502,-592502,592502,-592502,592502,-592502
856,2016,Delaware,235603,185127,50476,-50476,50476,-50476,50476,-50476
858,2016,Florida,8627063,9453077,-826014,826014,-826014,826014,-826014,826014
859,2016,Georgia,3477689,4224910,-747221,747221,-747221,747221,-747221,747221
860,2016,Hawaii,573495,221500,351995,-351995,351995,-351995,351995,-351995
861,2016,Idaho,378014,858072,-480058,480058,-480058,480058,-480058,480058
862,2016,Illinois,6103669,4330707,1772962,-1772962,1772962,-1772962,1772962,-1772962
863,2016,Indiana,2192073,2981277,-789204,789204,-789204,789204,-789204,789204
864,2016,Iowa,1203129,1726990,-523861,523861,-523861,523861,-523861,523861
865,2016,Kansas,806745,1403394,-596649,596649,-596649,596649,-596649,596649
866,2016,Kentucky,1442100,2293148,-851048,851048,-851048,851048,-851048,851048
867,2016,Louisiana,1485425,2418127,-932702,932702,-932702,932702,-932702,932702
868,2016,Maine,357735,335593,22142,-22142,22142,-22142,22142,-22142
869,2016,Maryland,3337835,1915726,1422109,-1422109,1422109,-1422109,1422109,-1422109
870,2016,Massachusetts,1995196,1090893,904303,-904303,904303,-904303,904303,-904303
871,2016,Michigan,2268839,2279543,-10704,10704,-10704,10704,-10704,10704
872,2016,Minnesota,1367705,1322949,44756,-44756,44756,-44756,44756,-44756
873,2016,Mississippi,485131,700714,-215583,215583,-215583,215583,-215583,215583
874,2016,Missouri,2371268,2972969,-601701,601701,-601701,601701,-601701,601701
875,2016,Montana,177709,279240,-101531,101531,-101531,101531,-101531,101531
876,2016,Nebraska,284494,495961,-211467,211467,-211467,211467,-211467,211467
877,2016,Nevada,1061254,1007137,54117,-54117,54117,-54117,54117,-54117
878,2016,New Hampshire,703175,699422,3753,-3753,3753,-3753,3753,-3753
879,2016,New Jersey,2148278,1601933,546345,-546345,546345,-546345,546345,-546345
880,2016,New Mexico,385234,319667,65567,-65567,65567,-65567,65567,-65567
881,2016,New York,9164009,4251069,4912940,-4912940,4912940,-4912940,4912940,-4912940
882,2016,North Carolina,4317481,4758007,-440526,440526,-440526,440526,-440526,440526
883,2016,North Dakota,151874,485582,-333708,333708,-333708,333708,-333708,333708
884,2016,Ohio,4391072,5959572,-1568500,1568500,-1568500,1568500,-1568500,1568500
885,2016,Oklahoma,776286,1930028,-1153742,1153742,-1153742,1153742,-1153742,1153742
886,2016,Oregon,2107225,1433509,673716,-673716,673716,-673716,673716,-673716
887,2016,Pennsylvania,5791453,5922435,-130982,130982,-130982,130982,-130982,130982
888,2016,Rhode Island,252525,180543,71982,-71982,71982,-71982,71982,-71982
889,2016,South Carolina,1559913,2396998,-837085,837085,-837085,837085,-837085,837085
890,2016,South Dakota,221598,493237,-271639,271639,-271639,271639,-271639,271639
891,2016,Tennessee,870695,1522925,-652230,652230,-652230,652230,-652230,652230
892,2016,Texas,3877868,4685047,-807179,807179,-807179,807179,-807179,807179
893,2016,Utah,612532,1275431,-662899,662899,-662899,662899,-662899,662899
894,2016,Vermont,370816,199006,171810,-171810,171810,-171810,171810,-171810
895,2016,Virginia,1981473,1769443,212030,-212030,212030,-212030,212030,-212030
896,2016,Washington,3656697,2551085,1105612,-1105612,1105612,-1105612,1105612,-1105612
897,2016,West Virginia,188794,489371,-300577,300577,-300577,300577,-300577,300577
898,2016,Wisconsin,2762871,2884755,-121884,121884,-121884,121884,-121884,121884
899,2016,Wyoming,55973,174419,-118446,118446,-118446,118446,-118446,118446
