,Year,State,democrat,republican,ShiftD,ShiftR,D+/-,R+/-,D,R
849,2016,Alabama,1478256.0,2653359.0,-1175103.0,1175103.0,-1175103.0,1175103.0,-1175103.0,1175103.0
850,2016,Alaska,152654.0,301536.0,-148882.0,148882.0,-148882.0,148882.0,-148882.0,148882.0
851,2016,Arizona,2192412.0,2612162.0,-419750.0,419750.0,-419750.0,419750.0,-419750.0,419750.0
852,2016,Arkansas,781096.0,1346856.0,-565760.0,565760.0,-565760.0,565760.0,-565760.0,565760.0
853,2016,California,20997958.0,4483810.0,16514148.0,-16514148.0,16514148.0,-16514148.0,16514148.0,-16514148.0
854,2016,Colorado,2709580.0,2417802.0,291778.0,-291778.0,291778.0,-291778.0,291778.0,-291778.0
855,2016,Connecticut,1818338.0,1225836.0,592502.0,-592502.0,592502.0,-592502.0,592502.0,-592502.0
856,2016,Delaware,235603.0,185127.0,50476.0,-50476.0,50476.0,-50476.0,50476.0,-50476.0
857,2016,District of Columbia,282830.0,12723.0,270107.0,-270107.0,270107.0,-270107.0,270107.0,-270107.0
858,2016,Florida,8627063.0,9453077.0,-826014.0,826014.0,-826014.0,826014.0,-826014.0,826014.0
859,2016,Georgia,3477689.0,4224910.0,-747221.0,747221.0,-747221.0,747221.0,-747221.0,747221.0
860,2016,Hawaii,573495.0,221500.0,351995.0,-351995.0,351995.0,-351995.0,351995.0,-351995.0
861,2016,Idaho,378014.0,858072.0,-480058.0,480058.0,-480058.0,480058.0,-480058.0,480058.0
862,2016,Illinois,6103669.0,4330707.0,1772962.0,-1772962.0,1772962.0,-1772962.0,1772962.0,-1772962.0
863,2016,Indiana,2192073.0,2981277.0,-789204.0,789204.0,-789204.0,789204.0,-789204.0,789204.0
864,2016,Iowa,1203129.0,1726990.0,-523861.0,523861.0,-523861.0,523861.0,-523861.0,523861.0
865,2016,Kansas,806745.0,1403394.0,-596649.0,596649.0,-596649.0,596649.0,-596649.0,596649.0
866,2016,Kentucky,1442100.0,2293148.0,-851048.0,851048.0,-851048.0,851048.0,-851048.0,851048.0
867,2016,Louisiana,1485425.0,2418127.0,-932702.0,932702.0,-932702.0,932702.0,-932702.0,932702.0
868,2016,Maine,357735.0,335593.0,22142.0,-22142.0,22142.0,-22142.0,22142.0,-22142.0
869,2016,Maryland,3337835.0,1915726.0,1422109.0,-1422109.0,1422109.0,-1422109.0,1422109.0,-1422109.0
870,2016,Massachusetts,1995196.0,1090893.0,904303.0,-904303.0,904303.0,-904303.0,904303.0,-904303.0
871,2016,Michigan,2268839.0,2279543.0,-10704.0,10704.0,-10704.0,10704.0,-10704.0,10704.0
872,2016,Minnesota,1367705.0,1322949.0,44756.0,-44756.0,44756.0,-44756.0,44756.0,-44756.0
873,2016,Mississippi,485131.0,700714.0,-215583.0,215583.0,-215583.0,215583.0,-215583.0,215583.0
874,2016,Missouri,2371268.0,2972969.0,-601701.0,601701.0,-601701.0,601701.0,-601701.0,601701.0
875,2016,Montana,177709.0,279240.0,-101531.0,101531.0,-101531.0,101531.0,-101531.0,101531.0
876,2016,Nebraska,284494.0,495961.0,-211467.0,211467.0,-211467.0,211467.0,-211467.0,211467.0
877,2016,Nevada,1061254.0,1007137.0,54117.0,-54117.0,54117.0,-54117.0,54117.0,-54117.0
878,2016,New Hampshire,703175.0,699422.0,3753.0,-3753.0,3753.0,-3753.0,3753.0,-3753.0
879,2016,New Jersey,2148278.0,1601933.0,546345.0,-546345.0,546345.0,-546345.0,546345.0,-546345.0
880,2016,New Mexico,385234.0,319667.0,65567.0,-65567.0,65567.0,-65567.0,65567.0,-65567.0
881,2016,New York,9164009.0,4251069.0,4912940.0,-4912940.0,4912940.0,-4912940.0,4912940.0,-4912940.0
882,2016,North Carolina,4317481.0,4758007.0,-440526.0,440526.0,-440526.0,440526.0,-440526.0,440526.0
883,2016,North Dakota,151874.0,485582.0,-333708.0,333708.0,-333708.0,333708.0,-333708.0,333708.0
884,2016,Ohio,4391072.0,5959572.0,-1568500.0,1568500.0,-1568500.0,1568500.0,-1568500.0,1568500.0
885,2016,Oklahoma,776286.0,1930028.0,-1153742.0,1153742.0,-1153742.0,1153742.0,-1153742.0,1153742.0
886,2016,Oregon,2107225.0,1433509.0,673716.0,-673716.0,673716.0,-673716.0,673716.0,-673716.0
887,2016,Pennsylvania,5791453.0,5922435.0,-130982.0,130982.0,-130982.0,130982.0,-130982.0,130982.0
888,2016,Rhode Island,252525.0,180543.0,71982.0,-71982.0,71982.0,-71982.0,71982.0,-71982.0
889,2016,South Carolina,1559913.0,2396998.0,-837085.0,837085.0,-837085.0,837085.0,-837085.0,837085.0
890,2016,South Dakota,221598.0,493237.0,-271639.0,271639.0,-271639.0,271639.0,-271639.0,271639.0
891,2016,Tennessee,870695.0,1522925.0,-652230.0,652230.0,-652230.0,652230.0,-652230.0,652230.0
892,2016,Texas,3877868.0,4685047.0,-807179.0,807179.0,-807179.0,807179.0,-807179.0,807179.0
893,2016,Utah,612532.0,1275431.0,-662899.0,662899.0,-662899.0,662899.0,-662899.0,662899.0
894,2016,Vermont,370816.0,199006.0,171810.0,-171810.0,171810.0,-171810.0,171810.0,-171810.0
895,2016,Virginia,1981473.0,1769443.0,212030.0,-212030.0,212030.0,-212030.0,212030.0,-212030.0
896,2016,Washington,3656697.0,2551085.0,1105612.0,-1105612.0,1105612.0,-1105612.0,1105612.0,-1105612.0
897,2016,West Virginia,188794.0,489371.0,-300577.0,300577.0,-300577.0,300577.0,-300577.0,300577.0
898,2016,Wisconsin,2762871.0,2884755.0,-121884.0,121884.0,-121884.0,121884.0,-121884.0,121884.0
899,2016,Wyoming,55973.0,174419.0,-118446.0,118446.0,-118446.0,118446.0,-118446.0,118446.0
